CATALOGID,RA,DEC,GAIA_DR3_SOURCE_ID,SNR_SnowWhite,WD_TYPE,Teff_SnowWhite,E_Teff_SnowWhite,Logg_SnowWhite,E_Logg_SnowWhite,SPEC_FILE,SN_MEDIAN_ALL,MJD,GAIA_BP,GAIA_RP,GAIA_G,PARALLAX
27021597900995338,78.49512481689453,51.10101318359375,262508126254171904,380.158447265625,DA,16611.9609375,327.4024963378906,8.267045974731445,0.0001912953011924401,spec-102868-59914-27021597900995338.fits  ,3.2291741371154785,59914,19.966888427734375,19.838693618774414,19.946317672729492,2.976609945297241
27021597808215536,342.9538879394531,53.797637939453125,2002527440917439616,4.905342102050781,DA,12019.3720703125,319.3283386230469,7.541751861572266,0.0019358111312612891,spec-100602-59925-27021597808215536.fits  ,3.287716865539551,59925,18.458415985107422,18.434925079345703,18.393966674804688,5.01786994934082
27021598101896793,118.12062072753906,8.647897720336914,3145632162103342976,14.298766136169434,DA,8650.384765625,0.5189908146858215,7.633427143096924,0.0009189940756186843,spec-100154-59940-27021598101896793.fits  ,7.9888715744018555,59940,19.307796478271484,18.97820281982422,19.316274642944336,3.4721601009368896
4545028264,127.85244750976562,3.5057570934295654,3091906618061242112,12.143136978149414,DA,13801.7939453125,301.83416748046875,8.126272201538086,0.00018289049330633134,spec-015256-59280-4545028264.fits         ,8.111896514892578,59280,19.750900268554688,19.954999923706055,19.832399368286133,2.0315911769866943
27021597973052770,68.79000091552734,-11.54104232788086,3178307409999868928,6.081598281860352,DA,14500.0048828125,724.6951293945312,8.5,0.00013868880341760814,spec-019852-59616-27021597973052770.fits  ,4.268609046936035,59616,19.17490005493164,19.216299057006836,19.189300537109375,4.223110198974609
4368366900,324.2550964355469,-1.218762993812561,2686595330338402432,15.213883399963379,DA,15704.755859375,45.587623596191406,7.86684513092041,0.00039423746056854725,spec-015064-59375-4368366900.fits         ,10.712736129760742,59375,19.456899642944336,19.415300369262695,19.45949935913086,1.723673701286316
4301366824,34.39109420776367,57.1130485534668,458558784733311232,160.7830352783203,DA,23475.583984375,20.11610221862793,7.915624618530273,6.384797598002478e-05,spec-015106-59209-4301366824.fits         ,118.72477722167969,59209,13.504500389099121,13.844300270080566,13.658900260925293,25.10283851623535
27021598148888235,206.85220336914062,-2.4989089965820312,3658277839347676672,11.049449920654297,DA,8527.2333984375,29.829761505126953,8.004950523376465,0.0008408459834754467,spec-103296-59647-27021598148888235.fits  ,7.9104390144348145,59647,19.259899139404297,19.054800033569336,19.28459930419922,4.577620029449463
27021598874682735,312.0494079589844,4.119656085968018,1734388200209027712,7.920007705688477,DA,19499.54296875,0.49754536151885986,7.987878799438477,0.0008634316036477685,spec-101047-59846-27021598874682735.fits  ,4.157254219055176,59846,19.721519470214844,19.842931747436523,19.78170394897461,2.4965898990631104
5300060284,290.6983337402344,21.802799224853516,2019056708447920000,8.8865966796875,DA,12143.5947265625,1386.7781982421875,7.791034698486328,0.0017633726820349693,spec-015334-59309-5300060284.fits         ,5.303576946258545,59309,19.69540023803711,19.4950008392334,19.571300506591797,3.666022300720215
5367977120,283.0799865722656,36.925209045410156,2093965194397524736,8.881227493286133,DA,29898.78125,101.47834014892578,6.6747965812683105,0.001126337912864983,spec-015332-59305-5367977120.fits         ,5.750332355499268,59305,19.614900588989258,19.997600555419922,19.821699142456055,0.6653239130973816
4542171278,114.3803482055664,16.81056785583496,3169059555142662144,19.37359619140625,DA,15558.0888671875,192.5111846923828,8.13070011138916,7.077078043948859e-05,spec-015073-59186-4542171278.fits         ,2.78259539604187,59186,19.372400283813477,19.304800033569336,19.45009994506836,3.3432977199554443
27021597905531768,242.51593017578125,56.23090744018555,1621878538298121984,13.070509910583496,DA,32617.134765625,313.52947998046875,7.674808025360107,0.0003577774914447218,spec-104541-59728-27021597905531768.fits  ,8.692378997802734,59728,18.35085105895996,18.217243194580078,18.44390296936035,1.336050033569336
4872702276,264.6064453125,-8.948506355285645,4168138423579099392,7.529062747955322,DA,9542.7578125,147.3182373046875,8.972718238830566,0.00017281595501117408,spec-015283-59279-4872702276.fits         ,1.9042096138000488,59279,19.13360023498535,18.922300338745117,19.168899536132812,4.550457954406738
27021597934447039,31.21343231201172,-1.3224788904190063,2506470380537919488,94.55513763427734,DA,12854.2763671875,145.475341796875,8.114411354064941,6.802795542171225e-05,spec-104660-59879-27021597934447039.fits  ,10.259719848632812,59879,18.647897720336914,18.58148765563965,18.681745529174805,4.683810234069824
27021598790697012,291.80523681640625,3.806511640548706,4289510213641187712,318.03887939453125,DA,6830.6376953125,64.4173812866211,6.5,0.0002986678446177393,spec-100513-59844-27021598790697012.fits  ,2.904554605484009,59844,19.08746337890625,19.27536964416504,19.1932430267334,0.49905601143836975
27021598103740383,121.17835998535156,19.108919143676758,669323580240902784,4.667868614196777,DA,9995.6494140625,123.32308197021484,7.9529876708984375,0.0004962938255630434,spec-101944-59884-27021598103740383.fits  ,3.154921293258667,59884,19.586999893188477,19.374637603759766,19.605844497680664,2.7194900512695312
4347777017,257.34619140625,76.35968017578125,1704764191564441472,32.73366165161133,DA,49230.15625,769.6928100585938,7.940264701843262,0.00017009186558425426,spec-015370-59338-4347777017.fits         ,19.55491065979004,59338,17.783700942993164,18.303600311279297,18.068199157714844,1.3541470766067505
4306826801,49.06043243408203,51.75040054321289,445893750806203776,7.914055824279785,DA,29291.53125,312.1629333496094,8.989999771118164,0.00010494695015950128,spec-015221-59245-4306826801.fits         ,5.22520112991333,59245,19.80970001220703,19.75550079345703,19.780099868774414,1.0201785564422607
4416239011,81.32915496826172,-7.613796710968018,3015119204172433536,13.8673677444458,DA,16499.06640625,0.8909088969230652,7.808807373046875,0.0003737102961167693,spec-015111-59218-4416239011.fits         ,10.084327697753906,59218,18.956100463867188,18.999300003051758,19.027999877929688,2.5869219303131104
4302310429,35.39768981933594,56.7435302734375,458304346564946560,32.567989349365234,DA,10026.583984375,21.001583099365234,8.0,0.00017584105080459267,spec-015106-59209-4302310429.fits         ,20.7584228515625,59209,18.269899368286133,18.09160041809082,18.236000061035156,5.736479759216309
4301893407,35.405029296875,54.59467315673828,455855154357959936,49.75071716308594,DA,15941.4921875,58.623531341552734,7.868502140045166,6.963212217669934e-05,spec-015217-59238-4301893407.fits         ,35.158912658691406,59238,16.860300064086914,16.99679946899414,16.92620086669922,7.27065372467041
27021597843297417,285.92095947265625,67.23111724853516,2255846119555435008,418.75750732421875,DA,11236.0966796875,36.57854080200195,8.25,0.0009571986738592386,spec-101194-59710-27021597843297417.fits  ,2.8991363048553467,59710,19.934959411621094,19.831584930419922,19.97978401184082,2.763669967651367
4351945206,183.7762451171875,49.38203430175781,1545840475948570880,54.94808578491211,DA,10245.2890625,5.365058898925781,8.172971725463867,0.00013225639122538269,spec-015238-59257-4351945206.fits         ,19.412904739379883,59257,18.26569938659668,18.117399215698242,18.265600204467773,5.754953861236572
4592651173,142.88876342773438,0.37986990809440613,3840707606038246144,16.60684585571289,DA,42736.90625,582.4992065429688,7.998278617858887,0.0008485271828249097,spec-015267-59308-4592651173.fits         ,11.444168090820312,59308,18.569400787353516,19.148799896240234,18.925100326538086,1.7876477241516113
27021598874479523,311.48028564453125,1.785169243812561,4228739278254996224,13.283937454223633,DA,12890.828125,157.02276611328125,7.817648887634277,0.00022829715453553945,spec-101046-59789-27021598874479523.fits  ,9.506869316101074,59789,18.337621688842773,18.379009246826172,18.363998413085938,4.415609836578369
4403034269,8.307239532470703,26.521188735961914,2807933447849924224,22.881534576416016,DA,89000.0,0.0,6.5,0.0,spec-015006-59227-4403034269.fits         ,16.24839973449707,59227,18.672800064086914,17.797399520874023,18.331899642944336,11.18581485748291
27021597939721677,336.6773376464844,0.6060256958007812,2678422660408462848,6.432805061340332,DA,9593.8232421875,20.42717933654785,8.286344528198242,0.0012121093459427357,spec-104610-59846-27021597939721677.fits  ,4.432559490203857,59846,19.69651222229004,19.399568557739258,19.7062931060791,3.4129600524902344
5367969671,283.6895751953125,36.632606506347656,2093714303888153472,7.5083231925964355,DA,12218.1611328125,350.6396179199219,8.989999771118164,2.7403515559853986e-05,spec-015332-59305-5367969671.fits         ,4.899077892303467,59305,19.450199127197266,19.668100357055664,19.6697998046875,2.3106131553649902
4399284904,9.845977783203125,0.592971920967102,2543302302082012800,40.734291076660156,DA,10078.3271484375,19.605867385864258,8.22704029083252,4.88591285829898e-05,spec-015005-59167-4399284904.fits         ,14.269266128540039,59167,19.124500274658203,18.772600173950195,19.07390022277832,4.241827011108398
27021597910893499,184.68362426757812,50.03333282470703,1547417033883310848,45.745269775390625,DA,14109.8056640625,140.21705627441406,7.993573188781738,0.00015708680439274758,spec-104635-59731-27021597910893499.fits  ,10.833065032958984,59731,18.256423950195312,18.302953720092773,18.345436096191406,4.1676201820373535
27021598158346790,211.57122802734375,18.212854385375977,1245468295966061952,14.874759674072266,DA,7162.91552734375,62.46997833251953,8.338208198547363,0.000650749949272722,spec-101684-59988-27021598158346790.fits  ,10.408526420593262,59988,17.305225372314453,16.799571990966797,17.12920570373535,22.724700927734375
27021598052143777,75.03326416015625,0.26579946279525757,3228220942934051712,4.556591987609863,DA,10253.748046875,46.3102912902832,7.94735860824585,0.0008686843793839216,spec-103949-59911-27021598052143777.fits  ,2.9039924144744873,59911,19.556913375854492,19.69841766357422,19.664382934570312,2.5575098991394043
4302454494,36.033111572265625,56.86943435668945,458386122744489088,31.96013641357422,DA,11080.6357421875,25.697444915771484,8.136159896850586,0.00015172621351666749,spec-015106-59209-4302454494.fits         ,20.07322120666504,59209,18.66309928894043,18.529499053955078,18.606599807739258,3.3101892471313477
4603603459,213.99310302734375,32.335914611816406,1477717926647104512,14.987868309020996,DA,10427.994140625,28.32322120666504,8.237264633178711,0.00040641831583343446,spec-015322-59340-4603603459.fits         ,11.014715194702148,59340,19.446199417114258,19.203399658203125,19.345600128173828,3.7438597679138184
4375906083,32.36005783081055,-4.038723945617676,2491584882883803264,20.379751205444336,DA,12999.8955078125,0.046847593039274216,8.113840103149414,0.00030854446231387556,spec-015046-59200-4375906083.fits         ,11.398825645446777,59200,19.445899963378906,19.480100631713867,19.49959945678711,2.540900468826294
