cntr_01,dist_x,pang_x,catalogid,ra,dec,gaia_dr3_source_id,snr_snowwhite,wd_type,teff_snowwhite,e_teff_snowwhite,logg_snowwhite,e_logg_snowwhite,spec_file,sn_median_all,mjd,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ext_flg,var_flg,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
3131,0.554104,-22.403975,4268491807,284.79910278,57.272132874,2.1535012064E+018,6.882039547,DA,12200,100.02684021,8.1923847198,0.00069873244502,spec-015387-59386-4268491807.fits,3.5451710224,59386,J185911.75+571620.1,284.7989943,57.2722752,0.4879,0.4828,-0.1413,17.976,0.157,6.9,0.8694,17.638,null,0.9,0.9167,13.827,null,-1.6,0.9457,10.073,null,-0.1,0.9149,1,0,0,0,0,0,0,0,nnnn,0,2,74,0,74,0,69,0,69,null,null,null,null,null,null,null
3140,0.554093,-42.230658,2.702159815E+016,151.59631348,7.2032198906,3.8744124134E+018,32.377304077,DA,9599.78125,21.363054276,8.1723098755,0.00015618168982,spec-101275-59666-27021598150451433.fits,22.422464371,59666,J100623.09+071212.0,151.5962092,7.2033339,0.3721,0.4121,0.0484,15.863,0.069,15.8,0.7852,15.672,0.182,6,0.9377,12.618,null,0.1,0.9609,9.034,null,-0.6,1.034,1,0,0,0,0,0,0,0,1nnn,0,11,11,2,11,0,11,0,11,881935019,15.896,0.092,15.856,0.172,15.023,null
3156,0.48047,-12.042871,4350966698,215.02687073,53.375709534,1.6080612548E+018,104.53861237,DA,7266.1733398,5.9383950233,8.1825990677,0.000025220939278,spec-015290-59370-4350966698.fits,48.251773834,59370,J142006.43+532233.0,215.026824,53.3758401,0.2835,0.2957,0.0857,16.09,0.052,21,0.9795,16.019,0.141,7.7,1.047,13.284,null,0,0.9642,9.594,null,-0.8,1.056,1,0,0,0,0,0,0,0,02nn,0,24,28,6,28,0,26,0,26,1295726687,16.404,0.125,15.869,0.178,16.235,null
3157,0.48047,-12.042871,4350966698,215.02687073,53.375709534,1.6080612548E+018,104.53861237,DA,7266.1733398,5.9383950233,8.1825990677,0.000025220939278,spec-015290-59376-4350966698.fits,55.353996277,59376,J142006.43+532233.0,215.026824,53.3758401,0.2835,0.2957,0.0857,16.09,0.052,21,0.9795,16.019,0.141,7.7,1.047,13.284,null,0,0.9642,9.594,null,-0.8,1.056,1,0,0,0,0,0,0,0,02nn,0,24,28,6,28,0,26,0,26,1295726687,16.404,0.125,15.869,0.178,16.235,null
3259,0.059527,-138.026874,2.7021597829E+016,273.49072266,62.336250305,2.1591713235E+018,8.3357744217,DA,12000,134.28494263,8.4714708328,0.00053186848527,spec-101205-59988-27021597828716823.fits,5.760720253,59988,J181357.76+622010.4,273.4906988,62.336238,0.8999,0.9413,-0.2598,18.192,0.15,7.2,0.8373,18.249,null,-0.7,0.9761,14.06,null,-0.5,0.9775,10.267,null,-1.9,1.024,1,0,0,0,0,0,0,0,nnnn,0,1,111,1,110,0,106,0,108,null,null,null,null,null,null,null
3337,0.302806,44.909449,2.7021597957E+016,3.2763204575,0.91863101721,2.5463871538E+018,36.327617645,DA,11103.526367,53.397087097,8.2377309799,0.00014400525833,spec-104642-59846-27021597957496946.fits,9.4881296158,59846,J001306.33+005507.2,3.2763798,0.9186906,1.0021,1.062,-0.2988,17.169,0.199,5.4,0.8736,15.98,0.256,4.2,1.003,12.533,null,-1.3,1.19,8.463,null,-1.2,0.9064,1,0,0,0,0,0,0,0,nnnn,0,2,11,1,11,0,11,0,8,null,null,null,null,null,null,null
3338,0.302806,44.909449,2.7021597957E+016,3.2763204575,0.91863101721,2.5463871538E+018,36.327617645,DA,11103.526367,53.397087097,8.2377309799,0.00014400525833,spec-104642-59847-27021597957496946.fits,6.1002078056,59847,J001306.33+005507.2,3.2763798,0.9186906,1.0021,1.062,-0.2988,17.169,0.199,5.4,0.8736,15.98,0.256,4.2,1.003,12.533,null,-1.3,1.19,8.463,null,-1.2,0.9064,1,0,0,0,0,0,0,0,nnnn,0,2,11,1,11,0,11,0,8,null,null,null,null,null,null,null
3339,0.302806,44.909449,2.7021597957E+016,3.2763204575,0.91863101721,2.5463871538E+018,36.327617645,DA,11103.526367,53.397087097,8.2377309799,0.00014400525833,spec-104642-59874-27021597957496946.fits,7.085129261,59874,J001306.33+005507.2,3.2763798,0.9186906,1.0021,1.062,-0.2988,17.169,0.199,5.4,0.8736,15.98,0.256,4.2,1.003,12.533,null,-1.3,1.19,8.463,null,-1.2,0.9064,1,0,0,0,0,0,0,0,nnnn,0,2,11,1,11,0,11,0,8,null,null,null,null,null,null,null
3340,0.302806,44.909449,2.7021597957E+016,3.2763204575,0.91863101721,2.5463871538E+018,36.327617645,DA,11103.526367,53.397087097,8.2377309799,0.00014400525833,spec-104642-59879-27021597957496946.fits,8.1119737625,59879,J001306.33+005507.2,3.2763798,0.9186906,1.0021,1.062,-0.2988,17.169,0.199,5.4,0.8736,15.98,0.256,4.2,1.003,12.533,null,-1.3,1.19,8.463,null,-1.2,0.9064,1,0,0,0,0,0,0,0,nnnn,0,2,11,1,11,0,11,0,8,null,null,null,null,null,null,null
3341,0.821683,44.609464,2.7021598088E+016,105.69097137,0.055199079216,3.1127861764E+018,56.593463898,DA,12535.24707,37.526199341,8.1418094635,0.000060071764892,spec-103426-59890-27021598087560892.fits,28.745326996,59890,J070245.87+000319.3,105.6911317,0.0553616,0.2373,0.2659,0.0118,15.13,0.049,22.1,1.036,14.887,0.092,11.7,1.023,12.302,null,1.2,0.9965,8.83,null,0.8,1.136,1,0,0,0,0,0,0,0,11nn,0,13,13,6,13,1,13,0,12,718592618,15.228,0.047,15.34,0.096,15.396,0.196
3342,0.821683,44.609464,2.7021598088E+016,105.69097137,0.055199079216,3.1127861764E+018,56.593463898,DA,12535.24707,37.526199341,8.1418094635,0.000060071764892,spec-103426-59891-27021598087560892.fits,25.155328751,59891,J070245.87+000319.3,105.6911317,0.0553616,0.2373,0.2659,0.0118,15.13,0.049,22.1,1.036,14.887,0.092,11.7,1.023,12.302,null,1.2,0.9965,8.83,null,0.8,1.136,1,0,0,0,0,0,0,0,11nn,0,13,13,6,13,1,13,0,12,718592618,15.228,0.047,15.34,0.096,15.396,0.196
3346,0.451398,-28.764363,2.7021598104E+016,134.4568634,18.13388443,6.1226212221E+017,44.068401337,DA,38787.714844,105.24671173,6.5,0.000013594957636,spec-102011-59986-27021598104494529.fits,23.482162476,59986,J085749.63+180802.3,134.4567999,18.1339943,0.4557,0.5091,0.089,16.241,0.083,13.1,0.9424,16.424,0.336,3.2,0.9647,12.55,0.456,2.4,1.154,9.134,null,-1.6,0.8874,1,0,0,0,0,0,0,0,1nnn,0,9,14,0,14,0,14,0,14,394041830,16.419,0.111,16.083,0.177,16.419,null
3376,0.647317,-100.20686,2.702159815E+016,149.63806152,1.5136653185,3.8345197651E+018,3.9970116615,DA,13000.007812,0.090738102794,8.2022027969,0.0010397178121,spec-101283-59955-27021598150208679.fits,2.3206927776,59955,J095833.09+013049.0,149.6378845,1.5136335,1.0567,1.1818,0.1356,17.141,0.181,6,0.9227,16.776,null,0.5,0.9139,12.482,null,0.5,0.861,9.075,null,-1.2,0.995,1,0,0,0,0,0,0,0,nnnn,1111,0,12,0,12,0,12,0,12,null,null,null,null,null,null,null
3432,0.803406,-141.631081,4350700484,221.59120178,41.571235657,1.4897351421E+018,49.04706192,DA,11472.696289,21.491548538,8.1425695419,0.00012337356748,spec-015357-59336-4350700484.fits,10.559293747,59336,J144621.84+413415.8,221.5910166,41.5710607,0.2331,0.248,0.0465,15.852,0.047,23.2,0.8072,15.285,0.082,13.2,0.9713,12.633,null,1.8,0.92,9.517,null,-0.7,1.085,1,0,0,0,0,0,0,0,00nn,0,25,29,11,29,0,29,0,29,null,null,null,null,null,null,null
3433,0.803406,-141.631081,4350700484,221.59120178,41.571235657,1.4897351421E+018,49.04706192,DA,11472.696289,21.491548538,8.1425695419,0.00012337356748,spec-015357-59364-4350700484.fits,18.422431946,59364,J144621.84+413415.8,221.5910166,41.5710607,0.2331,0.248,0.0465,15.852,0.047,23.2,0.8072,15.285,0.082,13.2,0.9713,12.633,null,1.8,0.92,9.517,null,-0.7,1.085,1,0,0,0,0,0,0,0,00nn,0,25,29,11,29,0,29,0,29,null,null,null,null,null,null,null
3434,0.803406,-141.631081,4350700484,221.59120178,41.571235657,1.4897351421E+018,49.04706192,DA,11472.696289,21.491548538,8.1425695419,0.00012337356748,spec-015357-59392-4350700484.fits,26.627779007,59392,J144621.84+413415.8,221.5910166,41.5710607,0.2331,0.248,0.0465,15.852,0.047,23.2,0.8072,15.285,0.082,13.2,0.9713,12.633,null,1.8,0.92,9.517,null,-0.7,1.085,1,0,0,0,0,0,0,0,00nn,0,25,29,11,29,0,29,0,29,null,null,null,null,null,null,null
3519,0.100181,59.067088,2.7021597833E+016,306.58868408,59.423118591,2.1886257625E+018,25.682851791,DA,25092.914062,92.888374329,7.9053273201,0.00026011685259,spec-101803-59838-27021597833008618.fits,18.08575058,59838,J202621.29+592523.2,306.588731,59.4231329,0.5322,0.4939,-0.1397,16.747,0.09,12.1,1.008,17.478,null,0.3,0.9554,12.875,null,-4.3,0.8571,9.522,null,-2.6,0.9378,1,0,0,0,0,0,0,0,0nnn,0,5,39,0,39,0,37,0,37,null,null,null,null,null,null,null
3571,0.559815,33.547394,2.7021597933E+016,10.459924698,-2.4472124577,2.5301191963E+018,15.441457748,DA,7321.5161133,24.860645294,7.725566864,0.00062240444822,spec-104661-59845-27021597933219093.fits,10.214143753,59845,J004150.40-022649.4,10.4600107,-2.4470829,0.4376,0.4579,-0.1234,16.141,0.075,14.5,0.8322,16.609,0.399,2.7,0.9137,12.758,null,-1.5,0.9289,9.138,null,-0.6,0.8263,1,0,0,0,0,0,0,0,0nnn,1111,12,16,0,16,0,16,0,16,67711257,16.257,0.08,16.053,0.147,15.837,null
3572,0.559815,33.547394,2.7021597933E+016,10.459924698,-2.4472124577,2.5301191963E+018,15.441457748,DA,7321.5161133,24.860645294,7.725566864,0.00062240444822,spec-104661-59871-27021597933219093.fits,0.75675302744,59871,J004150.40-022649.4,10.4600107,-2.4470829,0.4376,0.4579,-0.1234,16.141,0.075,14.5,0.8322,16.609,0.399,2.7,0.9137,12.758,null,-1.5,0.9289,9.138,null,-0.6,0.8263,1,0,0,0,0,0,0,0,0nnn,1111,12,16,0,16,0,16,0,16,67711257,16.257,0.08,16.053,0.147,15.837,null
3580,0.63729,47.072774,2.7021598712E+016,296.17022705,-4.7965431213,4.2095161385E+018,36.217556,DA,16552.392578,197.60577393,8.037812233,0.0003710873134,spec-100516-59845-27021598712277269.fits,7.8025989532,59845,J194440.88-044747.1,296.1703571,-4.7964226,0.2208,0.2392,-0.067,15.928,0.076,14.2,0.9256,16.426,null,0.7,0.956,12.584,null,-0.9,0.8403,8.954,null,-1.4,0.9882,1,0,0,0,0,0,0,0,1nnn,0,9,16,0,16,0,14,0,8,98615930,16.349,0.096,15.822,0.167,15.607,null
3581,0.608139,47.200065,2.7021598151E+016,156.28311157,5.5485343933,3.8606844266E+018,9.3091564178,DA,15707.947266,34.921066284,7.3638906479,0.00052969955141,spec-101260-59646-27021598151290839.fits,5.9891591072,59646,J102507.97+053255.1,156.2832361,5.5486492,0.348,0.4128,-0.0463,16.602,0.117,9.3,1.093,16.529,null,-0.1,0.993,12.14,null,0.5,1.235,8.945,null,-1.8,1.071,1,0,0,0,0,0.003,h000,0,nnnn,4577,3,16,0,16,1,10,0,11,null,null,null,null,null,null,null
3596,0.261151,9.054388,4543143667,111.90714264,23.303459167,8.6671945683E+017,159.60719299,DA,6000,0,8.1142702103,0.000034330831113,spec-015191-59247-4543143667.fits,31.623714447,59247,J072737.71+231812.7,111.9071551,23.3035308,0.3088,0.3314,-0.0524,15.497,0.057,19,0.967,15.239,0.14,7.8,0.9877,12.445,null,0.4,0.9198,8.963,null,-1.6,0.8815,1,0,0,0,0,0,0,0,0nnn,0,11,11,2,11,0,11,0,11,139240463,14.938,0.035,15.162,0.078,15.202,0.117
3597,0.261151,9.054388,4543143667,111.90714264,23.303459167,8.6671945683E+017,159.60719299,DA,6000,0,8.1142702103,0.000034330831113,spec-015285-59276-4543143667.fits,80.877403259,59276,J072737.71+231812.7,111.9071551,23.3035308,0.3088,0.3314,-0.0524,15.497,0.057,19,0.967,15.239,0.14,7.8,0.9877,12.445,null,0.4,0.9198,8.963,null,-1.6,0.8815,1,0,0,0,0,0,0,0,0nnn,0,11,11,2,11,0,11,0,11,139240463,14.938,0.035,15.162,0.078,15.202,0.117
3598,0.261151,9.054388,4543143667,111.90714264,23.303459167,8.6671945683E+017,159.60719299,DA,6000,0,8.1142702103,0.000034330831113,spec-015285-59304-4543143667.fits,61.512042999,59304,J072737.71+231812.7,111.9071551,23.3035308,0.3088,0.3314,-0.0524,15.497,0.057,19,0.967,15.239,0.14,7.8,0.9877,12.445,null,0.4,0.9198,8.963,null,-1.6,0.8815,1,0,0,0,0,0,0,0,0nnn,0,11,11,2,11,0,11,0,11,139240463,14.938,0.035,15.162,0.078,15.202,0.117
3684,0.395772,-13.211983,2.7021597908E+016,235.43717957,64.897766113,1.6413269791E+018,400.74121094,DA,11664.234375,47.028888702,8.1381196976,0.000046636116167,spec-101136-59952-27021597907852708.fits,17.946630478,59952,J154144.90+645352.3,235.4371203,64.8978731,0.1063,0.1083,0.0186,14.638,0.027,40.1,0.9538,13.803,0.03,36.1,0.977,12.928,0.306,3.5,0.9371,9.374,null,1.2,1.097,1,0,0,0,0,0,0,0,11nn,0,46,47,47,47,1,43,0,43,977917953,15.604,0.062,15.912,0.171,15.429,0.175
3685,0.395772,-13.211983,2.7021597908E+016,235.43717957,64.897766113,1.6413269791E+018,400.74121094,DA,11664.234375,47.028888702,8.1381196976,0.000046636116167,spec-101136-59978-27021597907852708.fits,22.094564438,59978,J154144.90+645352.3,235.4371203,64.8978731,0.1063,0.1083,0.0186,14.638,0.027,40.1,0.9538,13.803,0.03,36.1,0.977,12.928,0.306,3.5,0.9371,9.374,null,1.2,1.097,1,0,0,0,0,0,0,0,11nn,0,46,47,47,47,1,43,0,43,977917953,15.604,0.062,15.912,0.171,15.429,0.175
3709,0.755357,2.955152,2.7021597913E+016,101.62962341,65.427574158,1.1009712338E+018,866.36755371,DA,17815.761719,62.816684723,7.579018116,0.00039488988114,spec-102969-59981-27021597912892263.fits,17.023403168,59981,J064631.11+652540.0,101.6296494,65.4277837,1.1091,1.2506,-0.102,17.481,0.192,5.6,0.9664,16.692,null,1.4,0.9554,12.905,null,-1.6,0.9783,9.35,null,-0.1,0.9455,1,0,0,0,0,0,0,0,nnnn,0,2,17,0,17,0,17,0,17,null,null,null,null,null,null,null
3712,0.7006,-10.90382,2.702159792E+016,139.36860657,49.688854218,1.0129426492E+018,21.341808319,DA,13424.517578,75.515068054,7.9876251221,0.00026231282391,spec-103034-59978-27021597919789667.fits,15.302591324,59978,J091728.45+494120.5,139.3685497,49.6890453,0.384,0.4267,0.0642,17.041,0.143,7.6,1.022,16.733,0.421,2.6,0.8676,12.692,null,-0.9,0.9831,8.624,0.34,3.2,1.137,1,0,0,0,0,0,0,0,nnnn,44,3,16,0,16,0,10,0,11,null,null,null,null,null,null,null
3713,0.7006,-10.90382,2.702159792E+016,139.36860657,49.688854218,1.0129426492E+018,21.341808319,DA,13424.517578,75.515068054,7.9876251221,0.00026231282391,spec-103067-60007-27021597919789667.fits,13.081296921,60007,J091728.45+494120.5,139.3685497,49.6890453,0.384,0.4267,0.0642,17.041,0.143,7.6,1.022,16.733,0.421,2.6,0.8676,12.692,null,-0.9,0.9831,8.624,0.34,3.2,1.137,1,0,0,0,0,0,0,0,nnnn,44,3,16,0,16,0,10,0,11,null,null,null,null,null,null,null
3738,0.284416,13.079168,2.7021598152E+016,159.78079224,8.3111877441,3.8689276071E+018,42.102375031,DA,22642.427734,36.760501862,7.4103169441,0.00016851325927,spec-101240-59690-27021598151587061.fits,29.781684875,59690,J103907.39+081840.5,159.7808103,8.3112647,0.9557,1.0453,0.0933,16.96,0.16,6.8,0.7748,16.365,null,1.2,1.009,12.43,null,0.5,0.9339,8.921,null,0.2,1.004,1,0,0,0,0,0,0,0,nnnn,1111,1,12,0,12,0,12,0,12,null,null,null,null,null,null,null
3739,0.284416,13.079168,2.7021598152E+016,159.78079224,8.3111877441,3.8689276071E+018,42.102375031,DA,22642.427734,36.760501862,7.4103169441,0.00016851325927,spec-101240-60053-27021598151587061.fits,43.048095703,60053,J103907.39+081840.5,159.7808103,8.3112647,0.9557,1.0453,0.0933,16.96,0.16,6.8,0.7748,16.365,null,1.2,1.009,12.43,null,0.5,0.9339,8.921,null,0.2,1.004,1,0,0,0,0,0,0,0,nnnn,1111,1,12,0,12,0,12,0,12,null,null,null,null,null,null,null
3748,0.6098,-74.396964,2.7021597933E+016,9.7021722794,-1.5759493113,2.5304431056E+018,50.308696747,DA,17719.132812,30.869932175,7.5127630234,0.00014805785031,spec-104618-59912-27021597933231170.fits,20.928541183,59912,J003848.48-013433.2,9.7020091,-1.5759038,0.8236,0.857,-0.2541,16.817,0.148,7.4,0.7091,16.268,0.328,3.3,0.9119,12.467,null,-2.1,0.8889,9.005,null,-1.3,0.9082,1,0,0,0,0,0,0,0,nnnn,1111,1,11,0,11,0,10,0,11,67646107,17.009,0.14,16.418,null,15.976,null
3749,0.6098,-74.396964,2.7021597933E+016,9.7021722794,-1.5759493113,2.5304431056E+018,50.308696747,DA,17719.132812,30.869932175,7.5127630234,0.00014805785031,spec-104644-59828-27021597933231170.fits,13.204965591,59828,J003848.48-013433.2,9.7020091,-1.5759038,0.8236,0.857,-0.2541,16.817,0.148,7.4,0.7091,16.268,0.328,3.3,0.9119,12.467,null,-2.1,0.8889,9.005,null,-1.3,0.9082,1,0,0,0,0,0,0,0,nnnn,1111,1,11,0,11,0,10,0,11,67646107,17.009,0.14,16.418,null,15.976,null
3819,0.788033,-14.256649,4555597158,127.84768677,33.529621124,7.1094796803E+017,47.504680634,DA,89000,0.080757416785,6.5,0.00040300365072,spec-015059-59199-4555597158.fits,34.637123108,59199,J083123.42+333147.3,127.8476221,33.5298333,0.3756,0.404,-0.0246,15.944,0.067,16.3,0.7448,16.107,0.236,4.6,0.9902,12.501,null,0.5,0.9607,8.634,null,1.3,1.048,1,0,0,0,0,0,0,0,0nnn,1111,13,14,1,14,0,14,1,14,195963961,16.299,0.128,16.465,null,15.56,0.236
3835,0.902454,147.794733,4397387703,340.06732178,40.225234985,1.932374987E+018,11.54412365,DA,12199.990234,199.99798584,8.2200937271,0.00025217758957,spec-015082-59215-4397387703.fits,7.388261795,59215,J224016.19+401330.0,340.0674968,40.2250229,1.1733,1.203,-0.4356,17.367,0.195,5.6,0.8771,17.233,null,-0.5,1.006,12.925,null,-1.2,0.9823,9.303,null,-1.2,0.9186,1,0,0,0,0,0.002,0,0,nnnn,0,0,18,1,18,0,17,0,17,null,null,null,null,null,null,null
3858,0.324188,-135.718153,2.7021598726E+016,309.98681641,-4.5479183197,6.9145581472E+018,12.382831573,DA,16946.773438,282.53985596,7.6757707596,0.0002497600799,spec-101057-59847-27021598725677121.fits,8.8815975189,59847,J203956.82-043252.7,309.9867533,-4.5479828,0.7567,0.7955,-0.258,16.737,0.128,8.5,0.825,16.354,0.348,3.1,0.7858,12.212,null,1.3,1.042,9.002,null,-0.8,0.8504,1,0,0,0,0,0,0,0,0nnn,1111,4,13,0,13,0,13,0,13,null,null,null,null,null,null,null
3876,0.87659,85.700507,2.7021597911E+016,137.18099976,85.910850525,1.1511024013E+018,130.31706238,DA,13714.761719,116.21315002,8.0203495026,0.000091302565124,spec-102164-59651-27021597911099046.fits,9.4119157791,59651,J090844.25+855439.1,137.1844049,85.9108688,0.3558,0.3711,0.0846,16.312,0.062,17.6,1.089,16.953,0.331,3.3,0.9476,13.223,null,-2.7,1.086,9.579,null,-1.7,0.9407,1,0,0,0,0,0,0,0,1nnn,0,13,32,1,32,0,31,0,31,801144458,16.194,0.121,16.294,0.302,15.605,null
3877,0.87659,85.700507,2.7021597911E+016,137.18099976,85.910850525,1.1511024013E+018,130.31706238,DA,13714.761719,116.21315002,8.0203495026,0.000091302565124,spec-102164-59652-27021597911099046.fits,6.7293629646,59652,J090844.25+855439.1,137.1844049,85.9108688,0.3558,0.3711,0.0846,16.312,0.062,17.6,1.089,16.953,0.331,3.3,0.9476,13.223,null,-2.7,1.086,9.579,null,-1.7,0.9407,1,0,0,0,0,0,0,0,1nnn,0,13,32,1,32,0,31,0,31,801144458,16.194,0.121,16.294,0.302,15.605,null
3878,0.87659,85.700507,2.7021597911E+016,137.18099976,85.910850525,1.1511024013E+018,130.31706238,DA,13714.761719,116.21315002,8.0203495026,0.000091302565124,spec-102164-59653-27021597911099046.fits,11.067274094,59653,J090844.25+855439.1,137.1844049,85.9108688,0.3558,0.3711,0.0846,16.312,0.062,17.6,1.089,16.953,0.331,3.3,0.9476,13.223,null,-2.7,1.086,9.579,null,-1.7,0.9407,1,0,0,0,0,0,0,0,1nnn,0,13,32,1,32,0,31,0,31,801144458,16.194,0.121,16.294,0.302,15.605,null
3879,0.87659,85.700507,2.7021597911E+016,137.18099976,85.910850525,1.1511024013E+018,130.31706238,DA,13714.761719,116.21315002,8.0203495026,0.000091302565124,spec-102164-59654-27021597911099046.fits,6.1412234306,59654,J090844.25+855439.1,137.1844049,85.9108688,0.3558,0.3711,0.0846,16.312,0.062,17.6,1.089,16.953,0.331,3.3,0.9476,13.223,null,-2.7,1.086,9.579,null,-1.7,0.9407,1,0,0,0,0,0,0,0,1nnn,0,13,32,1,32,0,31,0,31,801144458,16.194,0.121,16.294,0.302,15.605,null
3889,0.812261,132.253715,2.7021597907E+016,252.72425842,77.81275177,1.7058532278E+018,54.639297485,DA,29805.472656,35.851531982,7.2164587975,0.00014931286569,spec-100745-59653-27021597906954587.fits,39.201625824,59653,J165054.01+774845.3,252.7250495,77.8126001,0.1976,0.1952,-0.0507,15.754,0.038,28.8,0.9549,15.82,0.089,12.2,0.9603,13.605,null,-1.3,0.9945,9.949,null,-0.4,0.9542,1,0,0,0,0,0.001,0,0,11nn,0,49,51,8,51,0,47,0,47,677903387,15.66,0.08,15.649,0.145,14.903,null
3906,0.241657,109.505218,2.702159797E+016,45.102401733,-0.3950818181,5.1881158856E+018,115.20613861,DA,6000,0,8.1083745956,0.000007054337857,spec-104621-59884-27021597970242307.fits,31.060388565,59884,J030024.59-002342.3,45.102465,-0.3951042,0.2971,0.3023,-0.0823,15.852,0.053,20.5,0.9333,15.617,0.134,8.1,0.9163,12.932,null,0.1,0.9204,9.306,null,0.2,1.084,1,0,0,0,0,0,0,0,1nnn,111,21,21,3,21,0,20,1,20,null,null,null,null,null,null,null
3961,0.192847,41.608377,2.7021597829E+016,279.53143311,60.361679077,2.1564699952E+018,29.002094269,DA,8912.5117188,13.968999863,7.9862594604,0.00021346661379,spec-101204-59744-27021597828524167.fits,20.615386963,59744,J183807.56+602142.1,279.531505,60.3617191,0.1756,0.173,-0.0447,15.481,0.034,31.5,0.8727,15.68,0.081,13.5,0.9011,13.605,null,-1.8,0.9446,9.82,null,0.2,0.9987,1,0,0,0,0,0,0,0,01nn,0,46,48,11,48,0,46,0,46,1099475263,15.57,0.066,15.404,0.119,15.303,null
4030,0.236573,-86.736458,2.7021598726E+016,311.68411255,-1.9120022058,4.2267163487E+018,49.824687958,DA,13076.675781,176.6355896,8.1089458466,0.00023836661421,spec-101059-59797-27021598726264235.fits,10.012009621,59797,J204644.17-015443.1,311.6840469,-1.9119985,0.3387,0.3674,-0.0807,15.494,0.062,17.5,0.9147,15.338,0.196,5.5,1.169,12.123,null,-0.5,1.005,8.548,null,-0.4,1.055,1,0,0,0,0,0,0,0,0nnn,2255,10,10,3,9,0,4,0,4,90390928,16.289,0.101,15.764,0.131,15.47,0.182
4094,0.303189,-103.189773,2.7021597899E+016,83.439147949,60.963859558,2.8309676066E+017,35.83486557,DA,12750,61.996894836,7.8234162331,0.000027491889341,spec-103749-59974-27021597899383865.fits,24.749435425,59974,J053345.35+605749.8,83.438979,60.9638403,0.3305,0.3679,-0.0913,15.888,0.063,17.2,0.7407,15.666,0.145,7.5,1.142,12.366,null,1.1,0.9519,9.236,null,-0.7,1.203,1,0,0,0,0,0.007,0,0,03nn,0,13,15,4,15,1,15,1,15,911167875,15.989,0.086,15.777,0.139,15.595,0.192
4095,0.303189,-103.189773,2.7021597899E+016,83.439147949,60.963859558,2.8309676066E+017,35.83486557,DA,12750,61.996894836,7.8234162331,0.000027491889341,spec-103749-59975-27021597899383865.fits,0.42642661929,59975,J053345.35+605749.8,83.438979,60.9638403,0.3305,0.3679,-0.0913,15.888,0.063,17.2,0.7407,15.666,0.145,7.5,1.142,12.366,null,1.1,0.9519,9.236,null,-0.7,1.203,1,0,0,0,0,0.007,0,0,03nn,0,13,15,4,15,1,15,1,15,911167875,15.989,0.086,15.777,0.139,15.595,0.192
4157,0.530632,141.699675,2.7021597904E+016,263.89712524,53.770706177,1.4176166282E+018,219.31893921,DA,19399.757812,43.28918457,7.8297009468,0.00018226406246,spec-101156-59957-27021597904243727.fits,23.416090012,59957,J173535.34+534614.1,263.8972798,53.7705905,0.5719,0.6174,-0.0714,17.358,0.101,10.7,0.89,17.058,0.263,4.1,0.9095,12.967,null,1.6,1.017,9.86,null,-1.4,1.02,1,0,0,0,0,0,0,0,0nnn,0,5,53,2,53,4,51,1,51,1055338079,16.918,0.147,16.715,0.291,16.181,null
4158,0.530632,141.699675,2.7021597904E+016,263.89712524,53.770706177,1.4176166282E+018,219.31893921,DA,19399.757812,43.28918457,7.8297009468,0.00018226406246,spec-101156-59958-27021597904243727.fits,9.7248497009,59958,J173535.34+534614.1,263.8972798,53.7705905,0.5719,0.6174,-0.0714,17.358,0.101,10.7,0.89,17.058,0.263,4.1,0.9095,12.967,null,1.6,1.017,9.86,null,-1.4,1.02,1,0,0,0,0,0,0,0,0nnn,0,5,53,2,53,4,51,1,51,1055338079,16.918,0.147,16.715,0.291,16.181,null
4246,0.220457,158.751312,2.7021597907E+016,254.29533386,80.19379425,1.7093877754E+018,86.213653564,DA,35000,0.062554948032,7.5,0.00012144305947,spec-102102-59648-27021597906905574.fits,10.093338013,59648,J165710.91+801137.4,254.2954642,80.1937372,0.3725,0.3817,-0.1082,16.639,0.065,16.7,0.9462,16.797,0.23,4.7,0.9531,13.462,null,-2,0.9357,9.636,null,0.4,0.9113,1,0,0,0,0,0,0,0,0nnn,0,14,46,1,46,0,44,0,44,null,null,null,null,null,null,null
4247,0.220457,158.751312,2.7021597907E+016,254.29533386,80.19379425,1.7093877754E+018,86.213653564,DA,35000,0.062554948032,7.5,0.00012144305947,spec-102102-59651-27021597906905574.fits,9.4497098923,59651,J165710.91+801137.4,254.2954642,80.1937372,0.3725,0.3817,-0.1082,16.639,0.065,16.7,0.9462,16.797,0.23,4.7,0.9531,13.462,null,-2,0.9357,9.636,null,0.4,0.9113,1,0,0,0,0,0,0,0,0nnn,0,14,46,1,46,0,44,0,44,null,null,null,null,null,null,null
