cntr_01,dist_x,pang_x,catalogid,ra,dec,gaia_dr3_source_id,snr_snowwhite,wd_type,teff_snowwhite,e_teff_snowwhite,logg_snowwhite,e_logg_snowwhite,spec_file,sn_median_all,mjd,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ext_flg,var_flg,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
333,0.406013,6.324236,4592683939,139.23072815,4.1922326088,5.7938109384E+017,107.4651413,DA,15904.552734,0.66432726383,7.4762067795,0.000060286653024,spec-015264-59310-4592683939.fits,35.904026031,59310,J091655.37+041132.4,139.2307406,4.1923447,1.0918,1.2128,0.1807,17.165,0.191,5.7,0.7666,16.856,0.514,2.1,0.8199,12.563,null,-0.5,0.8235,8.929,null,0.1,0.9956,1,0,0,0,0,0,0,0,nnnn,0,1,11,0,11,0,10,0,10,null,null,null,null,null,null,null
335,0.393817,107.768059,2.7021598047E+016,116.62340546,-6.4172830582,3.0438412654E+018,1518.8590088,DA,35463.269531,70.392944336,7.3972835541,0.00030183972558,spec-104355-59978-27021598046985190.fits,26.616643906,59978,J074629.64-062502.3,116.6235103,-6.4173164,0.4913,0.5502,0.0672,16.362,0.089,12.2,1.042,16.472,null,1.4,0.9847,11.995,0.251,4.3,1.1,9.204,null,0,0.9119,1,0,0,0,0,0,0,0,0nnn,0,9,14,0,14,1,14,0,14,221250079,15.96,0.076,16.109,0.141,15.728,0.249
516,0.477904,145.099079,2.7021597907E+016,243.59603882,70.972068787,1.6531894383E+018,null,DA,null,null,null,null,spec-101164-59949-27021597906637067.fits,5.9353508949,59949,J161423.10+705819.0,243.5962718,70.9719599,1.2479,1.1517,0.166,17.843,0.208,5.2,0.9891,17.283,0.43,2.5,0.8428,13.262,null,-1.4,0.9276,9.54,null,-0.4,0.9053,1,0,0,0,0,0,0,0,nnnn,0,0,29,0,29,0,26,0,26,null,null,null,null,null,null,null
517,0.477904,145.099079,2.7021597907E+016,243.59603882,70.972068787,1.6531894383E+018,null,DA,null,null,null,null,spec-101164-59975-27021597906637067.fits,16.88284874,59975,J161423.10+705819.0,243.5962718,70.9719599,1.2479,1.1517,0.166,17.843,0.208,5.2,0.9891,17.283,0.43,2.5,0.8428,13.262,null,-1.4,0.9276,9.54,null,-0.4,0.9053,1,0,0,0,0,0,0,0,nnnn,0,0,29,0,29,0,26,0,26,null,null,null,null,null,null,null
518,0.477904,145.099079,2.7021597907E+016,243.59603882,70.972068787,1.6531894383E+018,null,DA,null,null,null,null,spec-101164-60003-27021597906637067.fits,13.222858429,60003,J161423.10+705819.0,243.5962718,70.9719599,1.2479,1.1517,0.166,17.843,0.208,5.2,0.9891,17.283,0.43,2.5,0.8428,13.262,null,-1.4,0.9276,9.54,null,-0.4,0.9053,1,0,0,0,0,0,0,0,nnnn,0,0,29,0,29,0,26,0,26,null,null,null,null,null,null,null
519,0.477904,145.099079,2.7021597907E+016,243.59603882,70.972068787,1.6531894383E+018,null,DA,null,null,null,null,spec-101164-60008-27021597906637067.fits,14.203549385,60008,J161423.10+705819.0,243.5962718,70.9719599,1.2479,1.1517,0.166,17.843,0.208,5.2,0.9891,17.283,0.43,2.5,0.8428,13.262,null,-1.4,0.9276,9.54,null,-0.4,0.9053,1,0,0,0,0,0,0,0,nnnn,0,0,29,0,29,0,26,0,26,null,null,null,null,null,null,null
520,0.477904,145.099079,2.7021597907E+016,243.59603882,70.972068787,1.6531894383E+018,null,DA,null,null,null,null,spec-101164-60031-27021597906637067.fits,13.574947357,60031,J161423.10+705819.0,243.5962718,70.9719599,1.2479,1.1517,0.166,17.843,0.208,5.2,0.9891,17.283,0.43,2.5,0.8428,13.262,null,-1.4,0.9276,9.54,null,-0.4,0.9053,1,0,0,0,0,0,0,0,nnnn,0,0,29,0,29,0,26,0,26,null,null,null,null,null,null,null
547,0.698367,10.089452,2.7021597935E+016,317.91870117,2.4143359661,2.6924023022E+018,32.64648819,DA,15659.578125,90.416419983,7.9326310158,0.00010843993368,spec-101073-59847-27021597934909296.fits,22.741903305,59847,J211140.49+022452.2,317.9187352,2.414527,0.9712,0.9761,-0.2938,16.957,0.159,6.8,0.8492,16.479,null,1,0.7813,12.615,null,-1.9,0.8864,8.9,null,0.4,1.074,1,0,0,0,0,0,0,0,nnnn,0,1,12,0,12,0,11,0,11,1063002309,16.498,0.115,17.301,null,15.696,null
571,0.873052,10.972788,4522256182,95.534248352,1.7091890574,3.1237015093E+018,21.686071396,DA,16352.27832,104.06295013,8.06690979,0.00024890623172,spec-015137-59214-4522256182.fits,15.18658638,59214,J062208.23+014233.9,95.5342945,1.7094271,0.2533,0.2672,-0.0469,15.258,0.049,22,0.8616,14.812,0.095,11.5,0.9966,12.65,null,0.1,0.9689,9.17,null,-0.4,0.9214,1,0,0,0,0,0,0,0,10nn,11,13,13,9,13,0,13,0,13,706588735,16.815,0.152,17.213,null,16.999,null
607,0.289304,171.249484,2.7021597933E+016,8.8517198563,-1.4467219114,2.5424467446E+018,65.914657593,DA,16472.855469,27.143850327,7.7641410828,0.00014141161228,spec-104618-59912-27021597933224084.fits,9.9084920883,59912,J003524.41-012648.4,8.8517321,-1.4468013,0.5547,0.5554,-0.1605,16.323,0.089,12.1,0.7535,16.494,null,1,0.8723,12.697,null,-0.1,0.8031,9.046,null,0,0.9163,1,0,0,0,0,0,0,0,0nnn,1111,8,14,0,14,0,13,0,14,null,null,null,null,null,null,null
