CATALOGID,ra,dec,GAIA_DR3_SOURCE_ID,SNR_SnowWhite,WD_TYPE,Teff_SnowWhite,E_Teff_SnowWhite,Logg_SnowWhite,E_Logg_SnowWhite,SPEC_FILE,SN_MEDIAN_ALL,MJD
2.70215978348284E+016,319.599914550781,67.8705139160156,2.22227892291282E+018,3.50984525680542,DA,17801.755859375,551.94873046875,7.3747296333313,0.00276448740623891,spec-101748-59846-27021597834828397.fits  ,2.60266900062561,59846
4326216000,16.3039131164551,85.3557891845703,5.73779490120148E+017,15.6763391494751,DA,17813.91015625,294.154113769531,8.10691070556641,0.000441128126112744,spec-015194-59243-4326216000.fits         ,3.23954725265503,59243
4326216000,16.3039131164551,85.3557891845703,5.73779490120148E+017,15.6763391494751,DA,17813.91015625,294.154113769531,8.10691070556641,0.000441128126112744,spec-015350-59329-4326216000.fits         ,11.4039487838745,59329
4546314280,121.032424926758,21.809814453125,6.71029850488516E+017,13.2924890518188,DA,6697.39453125,56.6273498535156,7.61672496795654,0.000887486734427512,spec-015051-59204-4546314280.fits         ,9.331862449646,59204
2.70215981468746E+016,206.471343994141,-1.76206004619598,3.658556359387E+018,9.79777908325195,DA,8522.50390625,10.5573377609253,7.29516553878784,0.00176279386505485,spec-103296-59647-27021598146874635.fits  ,7.058509349823,59647
2.70215978102621E+016,350.960662841797,54.7992935180664,1.99610168449768E+018,34.0119895935059,DA,12811.326171875,438.77783203125,7.68114328384399,0.00185437966138124,spec-100594-59884-27021597810262098.fits  ,1.17853271961212,59884
2.70215978102621E+016,350.960662841797,54.7992935180664,1.99610168449768E+018,34.0119895935059,DA,12811.326171875,438.77783203125,7.68114328384399,0.00185437966138124,spec-100594-59914-27021597810262098.fits  ,2.01983380317688,59914
2.70215979707774E+016,62.6289443969727,-1.81145918369293,3.25267758622908E+018,56.1630935668945,DA,16627.458984375,12.5219955444336,8.34462261199951,0.000205157528398558,spec-103608-59905-27021597970777399.fits  ,15.3126630783081,59905
2.70215979707774E+016,62.6289443969727,-1.81145918369293,3.25267758622908E+018,56.1630935668945,DA,16627.458984375,12.5219955444336,8.34462261199951,0.000205157528398558,spec-103608-59906-27021597970777399.fits  ,15.1082324981689,59906
2.70215987217539E+016,305.027038574219,-6.01542663574219,4.21724536165329E+018,32.8095016479492,DA,11356.2861328125,59.7099266052246,8.00540351867676,0.000623478787019849,spec-101027-59839-27021598721753901.fits  ,8.60968399047852,59839
4347273869,253.25146484375,72.1509323120117,1.65354199927554E+018,8.18832111358643,DA,13104.548828125,104.383460998535,8.04355621337891,0.00152794492896646,spec-015369-59335-4347273869.fits         ,6.08522081375122,59335
4347273869,253.25146484375,72.1509323120117,1.65354199927554E+018,8.18832111358643,DA,13104.548828125,104.383460998535,8.04355621337891,0.00152794492896646,spec-015369-59360-4347273869.fits         ,2.46528768539429,59360
2.70215979332323E+016,9.49758625030518,-1.11959886550903,2.54248519314386E+018,7.38403129577637,DA,7614.79736328125,107.237312316895,8.08555316925049,0.000897849735338241,spec-104618-59912-27021597933232281.fits  ,3.10896587371826,59912
2.70215979332323E+016,9.49758625030518,-1.11959886550903,2.54248519314386E+018,7.38403129577637,DA,7614.79736328125,107.237312316895,8.08555316925049,0.000897849735338241,spec-104618-59925-27021597933232281.fits  ,0.664177536964417,59925
2.70215979332323E+016,9.49758625030518,-1.11959886550903,2.54248519314386E+018,7.38403129577637,DA,7614.79736328125,107.237312316895,8.08555316925049,0.000897849735338241,spec-104644-59828-27021597933232281.fits  ,5.17494630813599,59828
4591645001,207.105773925781,-4.70943784713745,3.63295440293384E+018,75.673454284668,DA,43338.36328125,45.6962852478027,6.5,0,spec-015200-59246-4591645001.fits         ,21.7819538116455,59246
4591645001,207.105773925781,-4.70943784713745,3.63295440293384E+018,75.673454284668,DA,43338.36328125,45.6962852478027,6.5,0,spec-015200-59273-4591645001.fits         ,47.1493606567383,59273
4591645001,207.105773925781,-4.70943784713745,3.63295440293384E+018,75.673454284668,DA,43338.36328125,45.6962852478027,6.5,0,spec-015200-59305-4591645001.fits         ,19.7398281097412,59305
4591645001,207.105773925781,-4.70943784713745,3.63295440293384E+018,75.673454284668,DA,43338.36328125,45.6962852478027,6.5,0,spec-015200-59324-4591645001.fits         ,29.1459522247314,59324
4591645001,207.105773925781,-4.70943784713745,3.63295440293384E+018,75.673454284668,DA,43338.36328125,45.6962852478027,6.5,0,spec-015349-59304-4591645001.fits         ,13.5703687667847,59304
2.70215987254743E+016,314.230072021484,-6.14595365524292,6.91052376418459E+018,1086.71118164063,DA,16602.7890625,107.241767883301,8.98999977111816,4.26811857323628E-05,spec-104220-59878-27021598725474260.fits  ,3.92138695716858,59878
2.70215979098768E+016,223.255874633789,55.3309860229492,1.60662725116367E+018,31.9935932159424,DA,7237.3876953125,13.1959562301636,7.55980777740479,0.00154618383385241,spec-100701-59719-27021597909876816.fits  ,4.24638986587524,59719
2.70215988677451E+016,303.751403808594,5.33162593841553,4.24918099042005E+018,24.0117378234863,DA,6319.89111328125,0.372368484735489,8.92838096618652,4.5846747525502E-05,spec-100993-59840-27021598867745137.fits  ,17.2241077423096,59840
4555293028,122.560180664063,32.8153915405273,9.02078234652214E+017,29.0959205627441,DA,25295.3671875,22.7052154541016,7.96460294723511,0.000238867549342103,spec-015023-59167-4555293028.fits         ,12.6629371643066,59167
4555293028,122.560180664063,32.8153915405273,9.02078234652214E+017,29.0959205627441,DA,25295.3671875,22.7052154541016,7.96460294723511,0.000238867549342103,spec-015023-59232-4555293028.fits         ,9.91361713409424,59232
