cntr_01,dist_x,pang_x,catalogid_01,ra_01,dec_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
819,5.616507,-100.565849,27021597935213623,3.2055249023E+02,2.8101093769E+00,J212212.22+024835.3,320.5509547,2.8098233,0.1375,0.1401,-0.0381,15.859,0.051,21.1,8.692E-01,15.475,0.108,10.1,8.903E-01,12.046,null,0.5,8.774E-01,9.062,null,-1.2,1.078E+00,1,0,0.000,0.000,0.000,0.000,-644,524,-321,539,0000,0,0nnn,AAUU,1100,23,24,5,24,0,11,0,11
820,4.834912,-163.890716,27021597808949353,3.4342742920E+02,5.4550559998E+01,J225342.42+543257.3,343.4267867,54.5492697,0.3004,0.2979,-0.0881,16.832,0.102,10.7,1.246E+00,17.490,null,-0.3,9.433E-01,12.784,null,-4.6,9.749E-01,9.300,null,-0.7,1.019E+00,1,0,0.000,0.000,0.000,0.000,766,1172,-832,1160,0000,0,nnnn,AUUU,0000,12,39,0,40,0,22,0,22
820,6.200977,-13.961962,27021597808949353,3.4342742920E+02,5.4550559998E+01,J225342.41+543308.0,343.4267126,54.5522316,0.1780,0.1736,-0.0545,16.196,0.060,18.2,1.133E+00,17.444,null,0.0,1.071E+00,12.823,null,-2.0,9.179E-01,9.274,null,-0.7,9.689E-01,1,0,0.000,0.000,0.000,0.000,-79,663,-631,644,0000,0,0nnn,AUUU,0000,26,39,0,40,0,22,0,22
821,9.330154,-8.331780,27021598865301339,2.9755853271E+02,3.3997273445E+00,J195013.95+032408.2,297.5581565,3.4022917,0.1046,0.1065,-0.0203,15.103,0.040,27.3,2.957E+00,15.541,0.132,8.2,1.069E+00,12.482,null,-0.5,8.581E-01,9.146,null,-1.1,1.079E+00,1,0,0.000,0.000,0.000,0.000,541,276,-441,286,0000,0,0nnn,ABUU,0000,27,27,5,27,0,13,0,13
822,2.229718,106.117316,4301960383,3.7297950745E+01,5.4400032043E+01,J022911.75+542359.4,37.2989729,54.3998601,0.1058,0.1223,0.0540,14.750,0.050,21.9,4.651E+00,14.503,0.068,16.1,1.550E+00,12.146,null,0.2,9.474E-01,8.465,0.312,3.5,7.128E-01,1,0,0.013,0.000,0.000,0.000,-2725,257,-621,268,hh00,1,43nn,AAUB,0000,28,29,23,29,0,14,0,14
822,9.081066,-130.224374,4301960383,3.7297950745E+01,5.4400032043E+01,J022910.71+542354.2,37.2946423,54.3984030,0.0385,0.0358,0.0061,10.089,0.023,47.2,8.652E-01,10.180,0.021,52.7,8.419E-01,10.110,0.059,18.5,1.083E+00,8.603,0.317,3.4,8.847E-01,1,0,0.007,0.000,0.000,0.000,-8,37,26,36,0h00,0,011n,AAAB,0000,29,29,29,29,14,14,1,14
828,1.047092,-42.903446,4544988329,1.3034552002E+02,6.5396064520E-01,J084122.87+003915.0,130.3453220,0.6541737,0.6395,0.7093,0.0725,17.621,0.215,5.1,9.992E-01,17.183,null,0.1,8.014E-01,12.172,null,1.0,8.718E-01,8.677,null,0.4,9.804E-01,1,0,0.000,0.000,0.000,0.000,-19,2964,-884,3273,0000,0,nnnn,BUUU,0000,1,24,0,24,0,11,0,11
831,6.138890,-69.758455,4861322231,2.5344702148E+02,-1.3323345184E+01,J165346.89-131921.9,253.4453773,-13.3227552,0.4477,0.4646,-0.0559,17.000,0.145,7.5,8.421E-01,16.731,null,0.9,8.668E-01,12.491,null,-0.6,1.076E+00,8.490,null,1.0,1.015E+00,1,0,0.000,0.000,0.000,0.000,2138,1900,188,1978,0000,0,nnnn,BUUU,1111,3,23,0,24,0,11,0,11
832,8.368380,-26.158031,27021597913734410,1.3979853821E+02,6.9318534851E+01,J091910.95+691914.2,139.7956363,69.3206213,0.1769,0.1915,0.0460,16.474,0.064,16.9,1.007E+00,16.238,0.163,6.6,9.460E-01,12.410,null,0.8,9.881E-01,8.468,null,1.4,8.813E-01,1,0,0.001,0.000,0.000,0.000,-181,668,-67,729,0000,0,0nnn,ABUU,0000,22,34,2,34,1,16,0,16
834,0.208739,49.555410,27021597913781597,1.4962881470E+02,6.9482917786E+01,J095830.94+692858.6,149.6289406,69.4829554,0.1887,0.2021,0.0353,16.590,0.067,16.3,1.095E+00,16.692,0.235,4.6,9.226E-01,12.828,null,-0.9,8.503E-01,8.659,null,1.7,9.676E-01,1,0,0.002,0.001,0.000,0.000,36,754,-188,805,000H,0,1nnn,ABUU,0000,19,39,1,39,0,18,0,19
836,5.589177,110.254261,27021597832434392,3.2383416748E+02,6.2337860107E+01,J213520.95+622014.3,323.8373048,62.3373226,0.0833,0.0794,-0.0035,15.228,0.032,33.9,1.121E+00,15.445,0.085,12.8,8.284E-01,13.163,null,0.0,1.036E+00,9.490,null,0.2,1.004E+00,1,0,0.000,0.000,0.000,0.000,-233,230,-86,213,d000,0,0nnn,AAUU,0000,54,54,16,54,0,30,0,30
837,7.949729,25.591573,27021597837379393,3.5032000732E+02,6.3662841797E+01,J232117.31+633953.4,350.3221575,63.6648334,0.0368,0.0361,0.0073,11.234,0.024,45.8,1.240E+00,10.830,0.021,52.6,1.439E+00,9.861,0.029,37.0,9.985E-01,9.527,0.507,2.1,9.865E-01,1,0,0.000,0.000,0.000,0.000,0,27,0,27,0000,0,120n,AAAC,0000,56,56,56,56,39,39,0,39
842,3.544662,78.755378,27021597934964117,3.1512213135E+02,4.4538516998E+00,J210029.54+042714.5,315.1231000,4.4540437,0.1567,0.1616,-0.0485,15.997,0.055,19.7,1.012E+00,16.028,0.170,6.4,8.690E-01,11.990,null,1.2,8.911E-01,9.039,null,-1.9,1.060E+00,1,0,0.000,0.000,0.000,0.000,35,614,75,638,0000,0,0nnn,ABUU,0000,20,23,1,23,0,11,0,11
843,2.710945,-178.554600,27021598733596383,2.6325488281E+02,2.4644351006E+00,J173301.16+022749.2,263.2548638,2.4636823,0.1680,0.1874,-0.0307,16.126,0.060,18.0,1.281E+00,17.007,null,0.6,9.084E-01,12.620,null,-1.8,1.004E+00,8.888,null,-0.7,8.968E-01,1,0,0.000,0.000,0.000,0.000,-711,651,-94,735,hH00,0,1nnn,AUUU,0000,17,27,0,27,0,12,0,12
844,9.146614,-128.833241,4360694538,1.5872357178E+02,4.5140731812E+01,J103452.98+450820.8,158.7207660,45.1391386,0.4445,0.4894,0.1148,17.705,0.197,5.5,1.042E+00,16.228,0.205,5.3,9.253E-01,11.953,null,1.8,1.024E+00,9.123,null,-2.2,1.014E+00,1,0,0.002,0.000,0.000,0.000,360,1939,490,2137,0000,0,nnnn,BBUU,0000,3,26,1,26,0,13,0,13
848,6.354537,67.178703,27021598735855970,2.6770443726E+02,6.4519829750E+00,J175049.45+062709.6,267.7060746,6.4526676,0.1130,0.1188,-0.0248,15.515,0.044,24.9,9.247E-01,15.470,0.096,11.4,8.079E-01,12.519,null,-0.4,8.439E-01,8.882,null,0.4,8.846E-01,1,0,0.000,0.000,0.000,0.000,632,365,-4,388,hh00,0,0nnn,AAUU,0000,39,39,6,38,0,11,0,12
851,9.597679,-115.488426,27021598712852701,2.9239205933E+02,-2.7525725365E+00,J192933.51-024513.3,292.3896500,-2.7537198,0.0824,0.0856,-0.0154,14.206,0.035,30.8,1.428E+00,14.420,0.062,17.6,1.138E+00,12.420,null,-0.7,7.941E-01,8.973,null,-0.6,8.896E-01,1,0,0.000,0.000,0.000,0.000,-96,147,245,158,d000,0,11nn,AAUU,1100,26,26,25,25,0,12,0,13
853,7.144933,79.966745,4215351022,3.0489065552E+02,3.9609336853E+01,J201934.36+393634.8,304.8931923,39.6096826,0.2017,0.1812,0.0606,12.951,0.075,14.5,8.310E-01,12.983,0.106,10.3,7.278E-01,8.789,null,0.8,1.249E-01,5.691,null,0.8,2.793E-01,4,1,0.000,0.000,0.000,0.000,null,null,null,null,000h,0,nnnn,AAUU,0000,41,41,41,41,0,18,0,18
854,4.282016,-6.694340,4342734140,7.9656860352E+01,4.8081203461E+01,J051837.59+480456.5,79.6566528,48.0823848,0.0454,0.0428,-0.0059,12.740,0.024,45.3,8.807E-01,12.587,0.025,43.3,7.839E-01,12.350,null,0.4,1.141E+00,8.381,null,1.0,9.205E-01,1,0,0.000,0.000,0.000,0.000,32,71,76,76,0000,0,00nn,AAUU,0000,26,26,26,26,0,12,0,12
855,9.967045,54.624003,4382190108,3.5395239258E+02,4.4337153435E-01,J233549.11+002641.9,353.9546501,0.4449744,0.0339,0.0312,0.0039,7.996,0.024,45.5,1.116E+00,8.078,0.020,55.6,1.566E+00,8.019,0.021,52.7,1.094E+00,7.878,0.199,5.5,1.008E+00,1,0,0.022,0.000,0.000,0.000,-372,39,-105,41,0000,0,011n,AAAB,1100,24,24,24,24,14,14,3,14
856,0.628315,-55.320827,27021597925621206,3.3212347412E+02,-1.3686787605E+01,J220829.59-134112.0,332.1233264,-13.6866883,0.1597,0.1633,-0.0510,15.896,0.056,19.5,1.062E+00,15.998,0.196,5.5,7.604E-01,12.352,null,0.3,9.278E-01,8.639,null,0.7,9.901E-01,1,0,0.000,0.000,0.000,0.000,104,599,371,615,0000,0,0nnn,ABUU,1100,19,22,3,22,0,12,0,12
864,0.357255,112.551167,27021598048553838,1.2099660492E+02,-1.4907399416E+00,J080359.20-012926.8,120.9966966,-1.4907780,0.2347,0.2552,0.0268,16.566,0.082,13.3,9.321E-01,16.499,0.273,4.0,8.379E-01,12.028,null,1.5,1.062E+00,9.055,null,-0.6,8.955E-01,1,0,0.000,0.000,0.000,0.000,-1049,916,-388,998,0000,0,0nnn,ABUU,1111,13,26,1,24,0,12,0,12
865,9.359558,153.616048,27021597839441874,3.2446099854E+02,6.7440872192E+01,J213751.36+672618.7,324.4640098,67.4385431,0.0610,0.0601,0.0044,14.557,0.028,38.2,1.150E+00,14.535,0.039,27.9,9.264E-01,13.441,null,-1.2,9.718E-01,9.738,null,-0.9,8.890E-01,1,0,0.000,0.000,0.000,0.000,-99,61,-49,57,0000,0,00nn,AAUU,0000,107,107,105,107,0,54,0,55
867,2.326407,-78.562286,27021597975119148,7.6500244141E+01,-3.2966506481E+00,J050559.90-031747.4,76.4996097,-3.2965225,0.3637,0.3999,-0.1053,17.080,0.127,8.5,8.682E-01,16.915,0.390,2.8,7.599E-01,12.571,null,-1.5,9.471E-01,8.993,null,-0.8,9.953E-01,1,0,0.000,0.000,0.000,0.000,-206,1669,1085,1826,0000,0,nnnn,BCUU,0000,1,25,0,25,0,12,0,12
868,7.931030,-72.903688,27021598101439569,1.2073256683E+02,5.6872663498E+00,J080255.30+054116.4,120.7304507,5.6879140,0.1709,0.1851,0.0193,16.126,0.063,17.3,1.073E+00,16.155,0.200,5.4,9.284E-01,12.171,0.389,2.8,9.707E-01,8.179,null,1.9,1.228E+00,1,0,0.000,0.000,0.000,0.000,172,642,88,696,0000,0,0nnn,ABCU,1111,18,24,3,24,2,11,0,11
869,9.233491,-111.651882,4264167054,3.0386605835E+02,5.5408538818E+01,J201526.84+552427.3,303.8618594,55.4075924,0.0454,0.0443,0.0077,13.192,0.024,45.2,1.084E+00,13.273,0.026,42.5,9.652E-01,12.705,null,1.2,9.202E-01,9.480,null,0.3,9.595E-01,1,0,0.000,0.000,0.000,0.000,-25,54,108,52,d000,0,00nn,AAUU,0000,65,65,65,65,0,37,0,37
872,6.276159,121.997118,27021597839638403,3.3719171143E+02,6.8029205322E+01,J222846.95+680141.8,337.1956631,68.0282815,0.0713,0.0706,-0.0066,14.819,0.030,35.8,1.134E+00,15.074,0.056,19.5,9.542E-01,12.715,null,1.6,9.864E-01,9.438,null,0.4,9.437E-01,1,0,0.000,0.000,0.000,0.000,80,98,77,94,0h00,0,11nn,AAUU,0000,75,75,44,75,0,48,1,48
876,4.119086,136.452098,27021597907860886,2.3477580261E+02,6.2366958618E+01,J153906.60+622158.0,234.7775022,62.3661293,0.1763,0.1750,0.0499,16.957,0.064,17.0,8.949E-01,16.268,0.115,9.5,8.505E-01,12.796,null,1.2,9.228E-01,8.959,null,1.8,9.859E-01,1,0,0.000,0.000,0.000,0.000,489,704,85,698,0000,0,nnnn,ABUU,0000,22,82,1,82,0,43,0,43
877,2.849587,-42.182801,27021597975223337,7.7765037537E+01,-3.6949494481E-01,J051103.48-002208.0,77.7645060,-0.3689084,0.3190,0.3458,-0.0802,16.922,0.108,10.1,9.418E-01,17.198,0.485,2.2,8.158E-01,12.694,null,-0.7,1.019E+00,8.977,null,-1.0,8.837E-01,1,0,0.000,0.000,0.000,0.000,-1361,1425,354,1547,0000,0,nnnn,ACUU,0000,7,26,0,26,0,13,0,13
880,4.193450,2.472933,4542184679,1.1582438660E+02,1.6441688538E+01,J074317.86+162634.2,115.8244390,16.4428523,0.2694,0.3085,-0.0110,16.819,0.103,10.5,1.130E+00,16.034,0.189,5.8,1.104E+00,12.194,null,1.0,8.144E-01,8.462,null,1.4,9.580E-01,1,0,0.000,0.000,0.000,0.000,988,1090,3254,1247,0000,0,nnnn,ABUU,0000,8,25,2,25,1,13,0,13
881,9.041755,-0.465385,27021598102744837,1.3364299011E+02,1.9660838842E+00,J085434.31+015806.9,133.6429697,1.9685954,0.1967,0.2144,0.0325,16.389,0.071,15.3,9.458E-01,16.401,0.229,4.7,9.223E-01,12.667,null,0.1,9.129E-01,9.061,null,-1.5,9.041E-01,1,0,0.002,0.000,0.000,0.000,-906,757,-334,836,d000,0,0nnn,ABUU,0000,14,27,0,27,0,13,0,13
882,0.863497,32.978675,27021598724614438,3.0504589844E+02,-8.8668212295E-02,J202011.04-000518.4,305.0460290,-0.0884670,0.1858,0.1933,-0.0500,16.235,0.066,16.5,1.130E+00,15.968,0.176,6.2,9.113E-01,11.808,0.297,3.7,9.897E-01,8.826,null,-0.1,1.008E+00,1,0,0.000,0.000,0.000,0.000,-462,715,-815,751,0000,0,1nnn,ABBU,1111,16,24,0,24,1,11,0,11
882,9.290389,-174.689748,27021598724614438,3.0504589844E+02,-8.8668212295E-02,J202010.95-000528.4,305.0456596,-0.0912378,0.2069,0.2160,-0.0563,16.350,0.072,15.0,1.272E+00,16.092,0.202,5.4,8.956E-01,12.153,0.409,2.7,1.066E+00,8.849,null,-0.4,1.042E+00,1,0,0.000,0.000,0.000,0.000,-1619,795,-2789,840,0000,0,0nnn,ABCU,1111,16,24,0,24,0,11,0,11
883,0.446836,4.111061,27021597907817964,2.3923298645E+02,6.0282028198E+01,J155655.92+601655.7,239.2330044,60.2821520,0.2735,0.2846,0.0820,17.492,0.092,11.8,9.907E-01,17.621,0.352,3.1,8.690E-01,13.252,null,0.1,8.994E-01,9.764,null,-1.0,9.220E-01,1,0,0.001,0.000,0.000,0.000,-219,1118,997,1160,0000,0,nnnn,ABUU,0000,11,91,1,91,0,50,0,50
884,8.128711,-87.675273,4522123543,9.4310668945E+01,1.2397375107E+00,J061714.01+011423.3,94.3084123,1.2398291,0.0434,0.0411,-0.0062,12.266,0.024,45.9,9.562E-01,12.053,0.024,45.2,7.966E-01,11.607,0.211,5.2,9.937E-01,9.187,null,-1.2,1.052E+00,1,0,0.000,0.000,0.000,0.000,82,60,11,64,0000,0,11nn,AABU,0111,28,28,27,27,1,12,0,12
886,8.284240,162.467508,27021598733154327,2.6157632446E+02,5.6778783798E+00,J172618.48+054032.4,261.5770211,5.6756841,0.2945,0.3253,-0.0530,16.883,0.106,10.2,1.011E+00,16.525,0.274,4.0,8.158E-01,12.292,null,0.7,1.019E+00,9.029,null,-1.4,8.002E-01,1,0,0.002,0.000,0.000,0.000,-1457,1288,1228,1427,0000,0,nnnn,ABUU,0000,7,26,0,26,0,13,0,13
887,2.851092,-100.536221,27021597959231054,8.3576984406E+00,2.5104526520E+01,J003325.64+250615.7,8.3568386,25.1043817,0.1287,0.1279,-0.0326,15.687,0.046,23.6,9.513E-01,15.643,0.124,8.8,7.921E-01,12.367,null,-0.7,9.789E-01,8.947,null,-0.5,7.931E-01,1,0,0.000,0.000,0.000,0.000,447,377,-231,370,0000,0,0nnn,ABUU,0000,24,25,5,25,0,12,0,12
890,3.539780,24.755309,4376610067,3.2310800171E+02,9.0805518627E-01,J213226.01+005432.2,323.1084135,0.9089481,0.0426,0.0393,-0.0072,12.270,0.023,48.0,1.089E+00,12.289,0.024,45.9,9.322E-01,11.900,0.376,2.9,9.135E-01,8.653,null,-0.4,9.649E-01,2,1,0.000,0.002,0.000,0.000,-109,56,-15,56,0000,0,nnnn,AACU,3500,25,25,21,21,0,11,0,11
890,9.386531,-42.305798,4376610067,3.2310800171E+02,9.0805518627E-01,J213225.49+005435.9,323.1062465,0.9099835,0.1703,0.1574,-0.0877,14.863,0.062,17.5,1.089E+00,15.054,0.103,10.6,9.322E-01,11.847,null,1.0,9.135E-01,8.385,null,0.5,9.649E-01,2,1,0.000,0.002,0.000,0.000,null,null,null,null,0000,0,nnnn,AAUU,3500,24,24,8,21,0,11,0,11
894,4.282016,-6.694340,27021597901840886,7.9656860352E+01,4.8081203461E+01,J051837.59+480456.5,79.6566528,48.0823848,0.0454,0.0428,-0.0059,12.740,0.024,45.3,8.807E-01,12.587,0.025,43.3,7.839E-01,12.350,null,0.4,1.141E+00,8.381,null,1.0,9.205E-01,1,0,0.000,0.000,0.000,0.000,32,71,76,76,0000,0,00nn,AAUU,0000,26,26,26,26,0,12,0,12
895,9.261297,152.926336,5208982818,2.7195245361E+02,1.2498919487E+01,J180748.87+122947.8,271.9536529,12.4966288,0.2885,0.3063,-0.0684,16.747,0.098,11.1,1.171E+00,17.405,null,-1.4,9.469E-01,12.578,null,0.2,9.673E-01,9.215,null,-0.1,9.772E-01,1,0,0.000,0.000,0.000,0.000,-76,1325,32,1417,0000,0,nnnn,AUUU,0000,6,30,0,30,0,16,0,16
897,5.169642,-11.033595,4346352466,2.4464083862E+02,5.4003356934E+01,J161833.68+540017.1,244.6403710,54.0047664,0.3782,0.4065,0.1003,17.970,0.135,8.0,1.018E+00,17.418,0.281,3.9,9.366E-01,13.571,null,-0.7,9.524E-01,9.820,null,-0.4,9.212E-01,1,0,0.000,0.000,0.000,0.002,-686,1306,556,1406,0000,0,nnnn,BBUU,0000,6,99,0,99,0,62,0,62
898,7.608609,168.521490,4546308650,1.2162909698E+02,2.0567361832E+01,J080631.09+203355.0,121.6295462,20.5652906,0.3148,0.3520,0.0210,16.985,0.117,9.3,1.097E+00,16.170,0.217,5.0,8.994E-01,12.365,null,0.2,8.726E-01,8.753,null,0.7,1.068E+00,1,0,0.000,0.000,0.000,0.000,-684,1314,90,1473,0000,0,nnnn,BBUU,1100,6,24,2,24,0,13,0,13
900,4.884931,-115.189111,27021598723975511,3.0507577515E+02,-5.5831236839E+00,J202017.88-053501.3,305.0745414,-5.5837012,0.1410,0.1497,-0.0425,15.971,0.049,22.0,1.365E+00,16.871,null,1.1,1.100E+00,12.261,null,0.7,8.736E-01,8.567,null,1.1,9.644E-01,1,0,0.000,0.000,0.000,0.000,-658,542,-412,581,0000,0,0nnn,AUUU,1111,24,27,0,27,0,14,0,14
906,1.415093,-155.339917,4349851583,1.8798152161E+02,6.3260364532E+01,J123155.47+631536.0,187.9811571,63.2600073,0.1890,0.1956,0.0535,16.647,0.067,16.2,9.841E-01,16.635,0.206,5.3,9.878E-01,13.090,null,-0.4,1.181E+00,9.370,null,-0.9,9.637E-01,1,0,0.001,0.000,0.000,0.000,-597,751,-286,780,0000,0,0nnn,ABUU,0000,18,43,2,43,0,21,0,21
907,3.890581,-52.563024,4554512841,1.2297041321E+02,2.5584989548E+01,J081152.67+253508.3,122.9694618,25.5856465,0.0985,0.1048,-0.0152,15.294,0.038,28.2,1.026E+00,15.230,0.095,11.4,1.016E+00,12.585,null,-1.3,9.564E-01,8.998,null,-1.1,9.547E-01,1,0,0.000,0.000,0.000,0.000,37,304,-273,332,0000,0,00nn,AAUU,1100,22,22,10,22,0,11,0,11
910,3.204464,42.476211,27021597935045243,3.1789047241E+02,4.0402054787E+00,J211133.85+040227.1,317.8910750,4.0408620,0.2628,0.2777,-0.0877,16.633,0.090,12.1,9.086E-01,16.410,0.249,4.4,9.511E-01,12.543,null,-0.5,1.032E+00,8.927,null,-0.5,9.148E-01,1,0,0.000,0.000,0.000,0.000,-526,1079,845,1128,0000,0,0nnn,ABUU,1100,14,23,1,23,0,11,0,11
912,8.155238,-37.450895,27021597935172511,3.2163345337E+02,2.2408998013E+00,J212631.69+021433.7,321.6320748,2.2426982,0.0617,0.0605,-0.0148,14.152,0.028,38.7,1.839E+00,13.985,0.041,26.6,1.062E+00,11.493,0.221,4.9,8.341E-01,8.684,null,0.4,8.713E-01,1,0,0.000,0.000,0.000,0.000,-141,154,-171,154,0000,0,00nn,AABU,2300,23,23,23,23,0,10,0,10
915,2.502376,132.345912,27021598732914879,2.5987271118E+02,4.8849735260E+00,J171929.57+045304.2,259.8732268,4.8845053,0.3408,0.3688,-0.0766,17.000,0.118,9.2,9.828E-01,17.050,0.413,2.6,8.199E-01,12.025,null,1.3,9.799E-01,8.495,null,1.6,1.179E+00,1,0,0.000,0.000,0.000,0.000,1286,1519,694,1635,0000,0,nnnn,BCUU,0022,8,27,0,27,0,13,0,13
916,0.932636,139.896479,27021597906417521,2.5017286682E+02,6.2272491455E+01,J164041.57+621620.2,250.1732255,62.2722933,0.3973,0.3992,0.1263,17.782,0.126,8.6,8.938E-01,17.917,null,0.1,9.544E-01,13.294,null,0.1,9.115E-01,9.706,null,-0.5,1.008E+00,1,0,0.000,0.000,0.000,0.000,1434,1493,-44,1498,0000,0,nnnn,BUUU,0000,4,65,0,65,0,47,0,47
919,2.676682,-99.266071,27021597901152498,7.8638938904E+01,4.9834335327E+01,J051433.07+495003.1,78.6378012,49.8342156,0.0521,0.0485,-0.0089,13.425,0.025,44.0,9.900E-01,13.328,0.031,35.2,9.413E-01,12.103,null,1.3,1.016E+00,8.890,0.500,2.2,9.993E-01,2,1,0.000,0.000,0.000,0.000,-236,85,127,92,hh00,0,nnnn,AAUC,0000,27,27,27,27,0,13,0,13
919,7.817688,110.685492,27021597901152498,7.8638938904E+01,4.9834335327E+01,J051434.10+495000.8,78.6420886,49.8335682,0.0781,0.0747,-0.0238,14.323,0.033,33.2,9.900E-01,14.269,0.050,21.9,9.413E-01,12.394,null,0.5,1.016E+00,8.985,null,-1.3,9.993E-01,2,1,0.000,0.000,0.000,0.000,null,null,null,null,hh00,0,nnnn,AAUU,0000,27,27,27,27,0,13,0,13
924,8.444488,97.026508,27021597831768495,3.2761178589E+02,6.2243701935E+01,J215028.02+621436.2,327.6167848,62.2434149,0.0601,0.0590,0.0078,14.208,0.027,40.5,1.426E+00,14.322,0.044,24.7,8.739E-01,13.093,null,-1.6,1.012E+00,9.344,null,-0.9,8.742E-01,1,0,0.000,0.000,0.000,0.000,327,109,-147,102,0000,0,11nn,AAUU,0000,50,50,50,50,0,26,0,26
925,6.803472,85.186148,27021597832378996,3.1875430298E+02,6.3203350067E+01,J211502.03+631212.6,318.7584802,63.2035086,0.1072,0.1010,-0.0167,16.026,0.038,28.8,1.227E+00,16.674,0.163,6.7,9.741E-01,13.185,null,-1.4,8.939E-01,9.689,null,-0.3,8.348E-01,1,0,0.000,0.000,0.000,0.000,89,410,-202,378,0h00,0,1nnn,ABUU,0000,63,72,2,73,0,42,0,42
926,3.287536,-89.503073,4269039854,2.8147628784E+02,5.8196426392E+01,J184553.89+581147.1,281.4745551,58.1964343,0.4049,0.4128,-0.1312,18.117,0.139,7.8,9.333E-01,18.209,null,-3.5,9.850E-01,13.594,null,-2.3,9.550E-01,9.518,null,0.8,9.817E-01,1,0,0.001,0.000,0.000,0.000,2310,1936,-1052,1994,0000,0,nnnn,BUUU,0000,1,100,1,100,0,69,0,70
927,7.691182,117.529777,27021598762149905,2.8070196533E+02,6.3889083862E+00,J184248.92+062316.5,280.7038717,6.3879209,0.0407,0.0374,-0.0078,11.831,0.022,48.5,4.507E+00,11.853,0.021,50.9,2.077E+00,11.508,0.218,5.0,9.547E-01,9.182,null,-0.5,1.129E+00,1,0,0.000,0.000,0.000,0.000,21,51,51,51,hh00,1,42nn,AABU,0000,28,28,28,28,0,12,0,12
930,0.909838,129.319885,27021598131103999,1.6385186768E+02,-2.6226396561E+00,J105524.49-023722.0,163.8520634,-2.6227998,0.1773,0.1916,0.0260,16.176,0.066,16.4,8.928E-01,15.607,0.133,8.2,8.036E-01,12.371,0.473,2.3,9.982E-01,8.900,null,0.0,9.854E-01,1,0,0.000,0.000,0.000,0.000,-588,665,658,720,0000,0,1nnn,ABCU,0000,17,23,4,23,0,11,0,11
932,8.640859,-110.822563,4595927220,1.7282531738E+02,2.6354974747E+01,J113117.47+262114.8,172.8228137,26.3541215,0.1501,0.1624,0.0166,15.974,0.056,19.4,8.248E-01,15.917,0.155,7.0,9.799E-01,12.203,0.420,2.6,9.961E-01,8.419,null,1.1,9.037E-01,1,0,0.000,0.000,0.000,0.000,-496,551,549,599,0000,0,0nnn,ABCU,0000,24,24,3,24,0,12,0,12
938,1.841081,-16.950807,27021597929808899,3.5379431152E+02,-9.6523219347E-01,J233510.59-005753.0,353.7941624,-0.9647430,0.3272,0.3304,-0.0889,16.845,0.104,10.4,9.419E-01,17.191,null,-0.1,8.636E-01,12.293,null,0.2,8.310E-01,8.304,null,1.0,9.167E-01,1,0,0.000,0.000,0.000,0.000,-2150,1463,279,1476,0000,0,nnnn,AUUU,1100,8,24,0,24,0,12,0,12
939,4.801078,-132.120187,27021597825299599,3.0319598389E+02,5.9099788666E+01,J201246.57+590556.0,303.1940577,59.0988942,0.2164,0.2049,-0.0603,16.921,0.073,15.0,8.903E-01,16.743,0.176,6.2,8.675E-01,13.322,null,-0.1,9.838E-01,9.553,null,-0.6,9.462E-01,1,0,0.000,0.000,0.000,0.000,-150,867,-232,817,0000,0,nnnn,ABUU,0000,18,71,1,71,0,39,0,39
943,7.192112,124.321417,4545194990,1.3118922424E+02,2.8145661354E+00,J084445.81+024848.3,131.1908762,2.8134397,0.4004,0.4332,-0.0110,17.194,0.135,8.1,9.015E-01,16.858,null,0.9,8.730E-01,12.480,null,-0.2,9.557E-01,8.558,null,1.0,9.993E-01,1,0,0.000,0.000,0.000,0.000,-1459,1675,-484,1819,0000,0,nnnn,BUUU,0000,2,25,0,25,0,12,0,12
944,2.461148,-67.382383,4505476939,8.8464965820E+01,2.6180591583E+01,J055351.42+261051.0,88.4642626,26.1808545,0.0520,0.0522,-0.0075,13.465,0.025,42.7,1.248E+00,13.427,0.034,32.4,1.045E+00,12.279,0.473,2.3,8.590E-01,8.956,null,-1.4,9.468E-01,1,0,0.000,0.000,0.000,0.000,185,111,143,122,0000,0,01nn,AACU,0000,23,23,23,23,0,12,0,12
946,1.862013,-55.126484,27021597939680266,3.3416836548E+02,1.4613735676E+00,J221640.30+012742.0,334.1679410,1.4616693,0.3061,0.3210,-0.0978,16.933,0.104,10.5,1.052E+00,16.790,0.356,3.1,8.130E-01,12.508,null,-0.1,8.942E-01,9.035,null,-0.4,8.789E-01,1,0,0.002,0.000,0.000,0.000,-778,1368,2334,1443,0000,0,nnnn,ABUU,1111,7,27,0,26,0,13,0,14
