cntr_01,dist_x,pang_x,catalogid_01,ra_01,dec_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
32,6.539096,-52.865695,27021597832161944,3.2266976929E+02,6.1936355591E+01,J213040.00+615614.8,322.6666911,61.9374521,0.0355,0.0363,0.0090,9.798,0.023,47.8,2.102E+00,9.858,0.020,54.5,1.690E+00,9.842,0.037,29.5,1.115E+00,9.036,null,1.7,9.856E-01,1,0,0.000,0.000,0.000,0.000,-71,29,46,29,0000,0,000n,AAAU,0000,72,72,72,72,43,43,1,43
37,9.484182,119.435513,27021597973571963,6.6210823059E+01,-1.1137568951E+00,J042451.14-010654.1,66.2131179,-1.1150516,0.2325,0.2525,-0.0702,16.626,0.083,13.0,8.660E-01,16.312,0.235,4.6,8.811E-01,11.879,null,1.6,1.039E+00,8.461,null,1.5,9.219E-01,1,0,0.000,0.000,0.000,0.000,480,948,-125,1033,0000,0,nnnn,ABUU,0000,9,26,2,26,0,13,0,13
38,5.927806,-20.587829,4861665691,2.5462069702E+02,-1.1894609451E+01,J165828.82-115335.0,254.6201053,-11.8930680,0.0651,0.0685,-0.0086,14.130,0.030,36.7,9.067E-01,14.249,0.051,21.4,7.687E-01,12.274,null,-0.8,1.159E+00,7.991,null,1.9,8.987E-01,1,0,0.000,0.000,0.000,0.000,117,136,-74,153,0000,0,00nn,AAUU,1233,26,26,25,26,0,8,0,7
39,7.906538,-19.266669,4545113737,1.3101943970E+02,4.2576880455E+00,J084404.49+041535.1,131.0187130,4.2597613,0.0417,0.0397,-0.0071,12.077,0.022,48.8,1.121E+00,12.132,0.024,45.2,9.812E-01,12.041,0.364,3.0,9.279E-01,8.893,null,-0.5,8.883E-01,1,0,0.000,0.000,0.000,0.000,12,52,-54,54,0000,0,00nn,AACU,0000,22,22,22,22,0,10,0,11
40,8.705530,-35.314949,4347757062,2.6337707520E+02,7.7665115356E+01,J173328.92+774001.5,263.3705305,77.6670885,0.1858,0.1966,-0.0507,17.314,0.066,16.3,1.008E+00,17.107,0.171,6.4,9.281E-01,13.191,null,1.2,1.024E+00,9.887,null,-1.1,9.245E-01,1,0,0.002,0.000,0.000,0.000,-215,850,-125,888,dd00,0,nnnn,ABUU,0000,26,152,1,152,0,74,0,74
42,1.460691,31.781078,27021598735020412,2.6467343140E+02,5.2675294876E+00,J173841.67+051604.3,264.6736460,5.2678744,0.1195,0.1274,-0.0211,15.554,0.046,23.8,9.613E-01,15.676,0.115,9.4,8.861E-01,12.292,null,0.1,9.436E-01,8.723,null,0.7,1.040E+00,1,0,0.000,0.000,0.000,0.000,290,421,-295,452,0000,0,0nnn,ABUU,0000,26,27,3,27,0,11,0,11
45,5.414702,-165.609465,4342019251,7.7940155029E+01,4.9867393494E+01,J051145.49+495157.3,77.9395751,49.8659366,0.1402,0.1505,-0.0316,15.721,0.052,21.0,8.417E-01,16.229,0.188,5.8,8.853E-01,12.600,null,0.3,1.088E+00,9.023,null,0.0,9.479E-01,1,0,0.000,0.000,0.000,0.000,21,468,18,508,0000,0,0nnn,ABUU,0000,26,28,1,28,0,13,0,13
49,2.157223,92.256784,27021598874007994,3.0990963745E+02,2.0541512966E+00,J203938.45+020314.8,309.9102366,2.0541277,0.5116,0.5434,-0.1394,17.417,0.177,6.1,9.989E-01,16.973,0.397,2.7,8.415E-01,12.188,null,0.4,7.821E-01,8.780,null,0.2,7.940E-01,1,0,0.000,0.000,0.000,0.000,-241,2357,-336,2494,0000,0,nnnn,BCUU,1122,3,25,1,25,0,11,0,11
49,7.978098,-117.692441,27021598874007994,3.0990963745E+02,2.0541512966E+00,J203937.84+020311.2,309.9076739,2.0531214,0.2586,0.2720,-0.0762,16.584,0.090,12.1,9.212E-01,16.653,0.295,3.7,8.663E-01,12.516,null,-0.4,8.733E-01,8.441,null,1.1,1.016E+00,1,0,0.000,0.000,0.000,0.000,55,1031,-438,1088,0000,0,1nnn,ABUU,1122,10,25,0,25,0,11,0,11
51,5.987835,-126.596106,4215614320,3.0475262451E+02,4.0280735016E+01,J201900.20+401647.0,304.7508741,40.2797434,0.0377,0.0355,0.0071,8.884,0.022,49.0,1.687E+00,8.944,0.020,55.2,1.565E+00,8.903,0.124,8.7,2.488E-01,8.107,null,-1.8,5.714E-01,1,0,0.000,0.000,0.000,0.000,151,32,17,30,hH00,0,0n0n,AABU,0000,44,44,44,44,19,19,0,19
