cntr_01,dist_x,pang_x,catalogid_01,ra_01,dec_01,gaia_dr3_source_id_01,snr_snowwhite_01,wd_type_01,teff_snowwhite_01,e_teff_snowwhite_01,logg_snowwhite_01,e_logg_snowwhite_01,spec_file_01,sn_median_all_01,mjd_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ext_flg,var_flg,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
10830,0.079835,-82.202805,5.2088543830E+09,2.7069863892E+02,1.2759057045E+01,4.4964240770E+18,1.0342758179E+01,DA,1.9457833984E+04,4.2182353973E+01,8.2301521301E+00,4.4048394193E-04,spec-015346-59300-5208854383.fits,8.3277521133E+00,59300,J180247.66+124532.6,270.6986164,12.7590601,0.6742,0.7464,-0.1093,16.721,0.132,8.2,1.257E+00,16.016,0.227,4.8,9.718E-01,12.565,null,-2.7,9.462E-01,9.101,null,-2.0,9.162E-01,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,3,14,2,14,0,14,0,14,null,null,null,null,null,null,null
10831,0.079835,-82.202805,5.2088543830E+09,2.7069863892E+02,1.2759057045E+01,4.4964240770E+18,1.0342758179E+01,DA,1.9457833984E+04,4.2182353973E+01,8.2301521301E+00,4.4048394193E-04,spec-015346-59307-5208854383.fits,1.1509364128E+01,59307,J180247.66+124532.6,270.6986164,12.7590601,0.6742,0.7464,-0.1093,16.721,0.132,8.2,1.257E+00,16.016,0.227,4.8,9.718E-01,12.565,null,-2.7,9.462E-01,9.101,null,-2.0,9.162E-01,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,3,14,2,14,0,14,0,14,null,null,null,null,null,null,null
10840,0.503052,-131.986082,5.2089404140E+09,2.7057757568E+02,1.3901908875E+01,4.4967516671E+18,null,DA,null,null,null,null,spec-015346-59300-5208940414.fits,4.0621463776E+01,59300,J180218.59+135406.5,270.5774687,13.9018154,0.2341,0.2515,-0.0540,15.176,0.046,23.5,1.116E+00,15.451,0.131,8.3,9.490E-01,12.605,null,0.8,9.211E-01,9.007,null,0.4,1.019E+00,1,0,0.000,0.000,0.000,0.000,0000,0,10nn,0000,14,15,5,15,0,15,0,15,576722375,15.495,0.052,15.357,0.109,15.290,0.163
10841,0.503052,-131.986082,5.2089404140E+09,2.7057757568E+02,1.3901908875E+01,4.4967516671E+18,null,DA,null,null,null,null,spec-015346-59307-5208940414.fits,3.3457008362E+01,59307,J180218.59+135406.5,270.5774687,13.9018154,0.2341,0.2515,-0.0540,15.176,0.046,23.5,1.116E+00,15.451,0.131,8.3,9.490E-01,12.605,null,0.8,9.211E-01,9.007,null,0.4,1.019E+00,1,0,0.000,0.000,0.000,0.000,0000,0,10nn,0000,14,15,5,15,0,15,0,15,576722375,15.495,0.052,15.357,0.109,15.290,0.163
10870,0.718817,25.118579,4.5289490280E+09,9.8459411621E+01,1.0687888145E+01,3.3277358506E+18,1.0495615387E+02,DA,2.7890152344E+04,7.1344904900E+00,8.0162887573E+00,8.5643958300E-05,spec-015103-59268-4528949028.fits,7.0087501526E+01,59268,J063350.27+104117.0,98.4594979,10.6880689,0.0995,0.1116,-0.0335,14.710,0.039,27.8,9.825E-01,15.164,0.172,6.3,9.929E-01,10.739,null,1.8,7.551E-01,8.128,0.426,2.5,1.526E+00,2,0,0.000,0.000,0.000,0.000,0000,0,0nnn,3577,23,24,3,16,0,5,0,5,676774305,14.442,0.033,14.481,0.038,14.679,0.097
10940,0.637443,20.631970,2.7021597842E+16,2.9909521484E+02,6.4232742310E+01,2.2473815679E+18,8.0618225098E+01,DA,1.7722236328E+04,2.8013208389E+01,8.0414056778E+00,6.2639053795E-05,spec-101800-59885-27021597842160709.fits,1.9799535751E+01,59885,J195622.88+641358.4,299.0953584,64.2329080,0.2938,0.2734,-0.0369,16.032,0.053,20.6,9.743E-01,16.155,0.131,8.3,9.062E-01,13.657,null,-1.0,9.411E-01,9.863,null,-1.4,1.022E+00,1,0,0.000,0.000,0.000,0.000,0000,0,0nnn,0000,24,58,2,58,0,55,0,55,700821568,15.702,0.071,15.584,0.148,15.947,null
10941,0.637443,20.631970,2.7021597842E+16,2.9909521484E+02,6.4232742310E+01,2.2473815679E+18,8.0618225098E+01,DA,1.7722236328E+04,2.8013208389E+01,8.0414056778E+00,6.2639053795E-05,spec-101800-59886-27021597842160709.fits,2.0560312271E+01,59886,J195622.88+641358.4,299.0953584,64.2329080,0.2938,0.2734,-0.0369,16.032,0.053,20.6,9.743E-01,16.155,0.131,8.3,9.062E-01,13.657,null,-1.0,9.411E-01,9.863,null,-1.4,1.022E+00,1,0,0.000,0.000,0.000,0.000,0000,0,0nnn,0000,24,58,2,58,0,55,0,55,700821568,15.702,0.071,15.584,0.148,15.947,null
10942,0.637443,20.631970,2.7021597842E+16,2.9909521484E+02,6.4232742310E+01,2.2473815679E+18,8.0618225098E+01,DA,1.7722236328E+04,2.8013208389E+01,8.0414056778E+00,6.2639053795E-05,spec-101800-59914-27021597842160709.fits,4.8512733459E+01,59914,J195622.88+641358.4,299.0953584,64.2329080,0.2938,0.2734,-0.0369,16.032,0.053,20.6,9.743E-01,16.155,0.131,8.3,9.062E-01,13.657,null,-1.0,9.411E-01,9.863,null,-1.4,1.022E+00,1,0,0.000,0.000,0.000,0.000,0000,0,0nnn,0000,24,58,2,58,0,55,0,55,700821568,15.702,0.071,15.584,0.148,15.947,null
10968,0.111556,-27.875389,2.7021597915E+16,1.3039816284E+02,5.8230072021E+01,1.0404172114E+18,2.8134229660E+01,DA,5.7717964844E+04,6.4180206299E+02,7.7682862282E+00,8.1946596038E-04,spec-102934-59958-27021597914595668.fits,1.9680332184E+01,59958,J084135.55+581348.3,130.3981353,58.2300994,1.1108,1.2316,0.1517,17.438,0.196,5.5,8.496E-01,16.522,null,1.5,1.023E+00,12.837,null,0.2,1.018E+00,8.779,null,1.2,9.751E-01,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,1,15,1,15,0,15,0,15,null,null,null,null,null,null,null
11019,0.643034,101.773570,2.7021597906E+16,2.3203816223E+02,5.5654491425E+01,1.6013286703E+18,1.2480782509E+01,DA,1.0789063477E+04,4.0539455414E+01,8.0112781525E+00,7.2011037264E-04,spec-101096-59986-27021597905785983.fits,9.0702190399E+00,59986,J152809.23+553916.0,232.0384722,55.6544550,0.2487,0.2618,0.0756,17.083,0.086,12.6,8.625E-01,16.918,0.233,4.7,8.578E-01,13.594,null,-0.6,1.033E+00,9.861,null,-0.6,1.006E+00,1,0,0.000,0.000,0.000,0.000,0000,0,0nnn,0000,5,48,1,48,0,45,0,45,null,null,null,null,null,null,null
