cntr_01,dist_x,pang_x,catalogid_01,ra_01,dec_01,gaia_dr3_source_id_01,snr_snowwhite_01,wd_type_01,teff_snowwhite_01,e_teff_snowwhite_01,logg_snowwhite_01,e_logg_snowwhite_01,spec_file_01,sn_median_all_01,mjd_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ext_flg,var_flg,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
2838,0.701755,-62.262108,2.7021597898E+16,7.3888229370E+01,5.9222686768E+01,2.8413294729E+17,1.4573227539E+03,DA,1.5750000000E+04,1.4852240682E-01,8.1228227615E+00,3.0692311702E-04,spec-103777-60008-27021597898118409.fits,1.0438428879E+01,60008,J045533.09+591321.9,73.8878922,59.2227775,0.8144,0.8992,-0.2222,17.111,0.163,6.6,8.491E-01,16.512,0.336,3.2,1.013E+00,12.030,0.255,4.3,1.182E+00,8.874,null,1.0,1.094E+00,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,2,14,2,14,2,14,0,14,null,null,null,null,null,null,null
2922,0.319335,22.255671,2.7021597829E+16,3.2017568970E+02,5.8322536469E+01,2.1911469770E+18,3.3360294342E+01,DA,7.9733159180E+03,2.4552022934E+01,7.9904174805E+00,1.3762437447E-04,spec-101782-59838-27021597829496672.fits,2.3253047943E+01,59838,J212042.18+581921.4,320.1757537,58.3226186,0.3029,0.2885,-0.0915,15.671,0.054,20.0,1.449E+00,15.904,0.144,7.6,1.141E+00,12.396,null,-1.7,8.601E-01,9.377,null,-2.3,1.137E+00,1,0,0.000,0.000,0.000,0.000,hh00,0,3nnn,0000,19,32,3,32,0,30,0,31,726996897,15.387,0.058,15.263,0.100,14.989,null
2925,0.356753,0.424729,2.7021597920E+16,1.2149297333E+02,4.1158737183E+01,9.2146073916E+17,1.6757099915E+02,DA,4.8106832031E+04,7.1529014587E+01,7.6672759056E+00,1.2363481801E-04,spec-018956-59586-27021597920097304.fits,2.4193893433E+01,59586,J080558.31+410931.8,121.4929743,41.1588363,0.5317,0.5714,0.0805,16.353,0.095,11.4,7.973E-01,16.207,0.270,4.0,1.146E+00,12.675,null,0.0,9.249E-01,9.123,0.539,2.0,9.988E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,8,12,1,12,0,12,0,12,1055285656,15.833,0.075,15.788,0.128,16.188,0.284
2926,0.356753,0.424729,2.7021597920E+16,1.2149297333E+02,4.1158737183E+01,9.2146073916E+17,1.6757099915E+02,DA,4.8106832031E+04,7.1529014587E+01,7.6672759056E+00,1.2363481801E-04,spec-018956-59595-27021597920097304.fits,2.3049556732E+01,59595,J080558.31+410931.8,121.4929743,41.1588363,0.5317,0.5714,0.0805,16.353,0.095,11.4,7.973E-01,16.207,0.270,4.0,1.146E+00,12.675,null,0.0,9.249E-01,9.123,0.539,2.0,9.988E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,8,12,1,12,0,12,0,12,1055285656,15.833,0.075,15.788,0.128,16.188,0.284
2927,0.356753,0.424729,2.7021597920E+16,1.2149297333E+02,4.1158737183E+01,9.2146073916E+17,1.6757099915E+02,DA,4.8106832031E+04,7.1529014587E+01,7.6672759056E+00,1.2363481801E-04,spec-018956-59619-27021597920097304.fits,3.4732353210E+01,59619,J080558.31+410931.8,121.4929743,41.1588363,0.5317,0.5714,0.0805,16.353,0.095,11.4,7.973E-01,16.207,0.270,4.0,1.146E+00,12.675,null,0.0,9.249E-01,9.123,0.539,2.0,9.988E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,8,12,1,12,0,12,0,12,1055285656,15.833,0.075,15.788,0.128,16.188,0.284
2928,0.356753,0.424729,2.7021597920E+16,1.2149297333E+02,4.1158737183E+01,9.2146073916E+17,1.6757099915E+02,DA,4.8106832031E+04,7.1529014587E+01,7.6672759056E+00,1.2363481801E-04,spec-018956-59620-27021597920097304.fits,4.8624755859E+01,59620,J080558.31+410931.8,121.4929743,41.1588363,0.5317,0.5714,0.0805,16.353,0.095,11.4,7.973E-01,16.207,0.270,4.0,1.146E+00,12.675,null,0.0,9.249E-01,9.123,0.539,2.0,9.988E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,8,12,1,12,0,12,0,12,1055285656,15.833,0.075,15.788,0.128,16.188,0.284
2929,0.356753,0.424729,2.7021597920E+16,1.2149297333E+02,4.1158737183E+01,9.2146073916E+17,1.6757099915E+02,DA,4.8106832031E+04,7.1529014587E+01,7.6672759056E+00,1.2363481801E-04,spec-018956-59621-27021597920097304.fits,5.6206916809E+01,59621,J080558.31+410931.8,121.4929743,41.1588363,0.5317,0.5714,0.0805,16.353,0.095,11.4,7.973E-01,16.207,0.270,4.0,1.146E+00,12.675,null,0.0,9.249E-01,9.123,0.539,2.0,9.988E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,8,12,1,12,0,12,0,12,1055285656,15.833,0.075,15.788,0.128,16.188,0.284
2930,0.356753,0.424729,2.7021597920E+16,1.2149297333E+02,4.1158737183E+01,9.2146073916E+17,1.6757099915E+02,DA,4.8106832031E+04,7.1529014587E+01,7.6672759056E+00,1.2363481801E-04,spec-018956-59624-27021597920097304.fits,2.7074098587E+01,59624,J080558.31+410931.8,121.4929743,41.1588363,0.5317,0.5714,0.0805,16.353,0.095,11.4,7.973E-01,16.207,0.270,4.0,1.146E+00,12.675,null,0.0,9.249E-01,9.123,0.539,2.0,9.988E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,8,12,1,12,0,12,0,12,1055285656,15.833,0.075,15.788,0.128,16.188,0.284
2931,0.356753,0.424729,2.7021597920E+16,1.2149297333E+02,4.1158737183E+01,9.2146073916E+17,1.6757099915E+02,DA,4.8106832031E+04,7.1529014587E+01,7.6672759056E+00,1.2363481801E-04,spec-018956-59630-27021597920097304.fits,4.8372592926E+01,59630,J080558.31+410931.8,121.4929743,41.1588363,0.5317,0.5714,0.0805,16.353,0.095,11.4,7.973E-01,16.207,0.270,4.0,1.146E+00,12.675,null,0.0,9.249E-01,9.123,0.539,2.0,9.988E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,8,12,1,12,0,12,0,12,1055285656,15.833,0.075,15.788,0.128,16.188,0.284
2932,0.356753,0.424729,2.7021597920E+16,1.2149297333E+02,4.1158737183E+01,9.2146073916E+17,1.6757099915E+02,DA,4.8106832031E+04,7.1529014587E+01,7.6672759056E+00,1.2363481801E-04,spec-018956-59631-27021597920097304.fits,2.6296962738E+01,59631,J080558.31+410931.8,121.4929743,41.1588363,0.5317,0.5714,0.0805,16.353,0.095,11.4,7.973E-01,16.207,0.270,4.0,1.146E+00,12.675,null,0.0,9.249E-01,9.123,0.539,2.0,9.988E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,8,12,1,12,0,12,0,12,1055285656,15.833,0.075,15.788,0.128,16.188,0.284
2933,0.356753,0.424729,2.7021597920E+16,1.2149297333E+02,4.1158737183E+01,9.2146073916E+17,1.6757099915E+02,DA,4.8106832031E+04,7.1529014587E+01,7.6672759056E+00,1.2363481801E-04,spec-102756-60031-27021597920097304.fits,2.8669448853E+01,60031,J080558.31+410931.8,121.4929743,41.1588363,0.5317,0.5714,0.0805,16.353,0.095,11.4,7.973E-01,16.207,0.270,4.0,1.146E+00,12.675,null,0.0,9.249E-01,9.123,0.539,2.0,9.988E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,8,12,1,12,0,12,0,12,1055285656,15.833,0.075,15.788,0.128,16.188,0.284
2950,0.493512,170.542338,2.7021597905E+16,2.4821183777E+02,6.1654975891E+01,1.6253671212E+18,2.9254232407E+01,DA,1.0329341797E+04,5.6911579132E+01,8.2122678757E+00,3.6164504127E-04,spec-101146-59952-27021597904903584.fits,8.0970458984E+00,59952,J163250.85+613917.4,248.2118852,61.6548407,0.8736,0.8744,0.2663,17.784,0.155,7.0,8.525E-01,17.228,null,1.4,8.937E-01,12.753,0.259,4.2,9.728E-01,9.849,null,-1.4,1.007E+00,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,1,46,0,46,0,41,0,43,null,null,null,null,null,null,null
3049,0.480021,-14.091396,4.5977711770E+09,1.6773649597E+02,3.9987968445E+01,7.6540412896E+17,6.5952407837E+01,DA,1.0463989258E+04,2.7673647404E+00,8.2002687454E+00,1.2473824609E-04,spec-015352-59358-4597771177.fits,3.4576168060E+01,59358,J111056.74+395917.1,167.7364536,39.9880978,0.5445,0.5952,0.1437,16.508,0.095,11.5,8.258E-01,16.719,0.404,2.7,8.217E-01,12.920,null,-0.1,9.928E-01,9.209,null,-0.4,9.515E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0011,7,15,0,15,1,15,0,15,206618613,16.058,0.109,15.942,null,16.152,null
3050,0.480021,-14.091396,4.5977711770E+09,1.6773649597E+02,3.9987968445E+01,7.6540412896E+17,6.5952407837E+01,DA,1.0463989258E+04,2.7673647404E+00,8.2002687454E+00,1.2473824609E-04,spec-015352-59362-4597771177.fits,3.1682228088E+01,59362,J111056.74+395917.1,167.7364536,39.9880978,0.5445,0.5952,0.1437,16.508,0.095,11.5,8.258E-01,16.719,0.404,2.7,8.217E-01,12.920,null,-0.1,9.928E-01,9.209,null,-0.4,9.515E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0011,7,15,0,15,1,15,0,15,206618613,16.058,0.109,15.942,null,16.152,null
3130,0.554104,-22.403975,4.2684918070E+09,2.8479910278E+02,5.7272132874E+01,2.1535012064E+18,6.8820395470E+00,DA,1.2200000000E+04,1.0002684021E+02,8.1923847198E+00,6.9873244502E-04,spec-015387-59367-4268491807.fits,2.8281016350E+00,59367,J185911.75+571620.1,284.7989943,57.2722752,0.4879,0.4828,-0.1413,17.976,0.157,6.9,8.694E-01,17.638,null,0.9,9.167E-01,13.827,null,-1.6,9.457E-01,10.073,null,-0.1,9.149E-01,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,2,74,0,74,0,69,0,69,null,null,null,null,null,null,null
3131,0.554104,-22.403975,4.2684918070E+09,2.8479910278E+02,5.7272132874E+01,2.1535012064E+18,6.8820395470E+00,DA,1.2200000000E+04,1.0002684021E+02,8.1923847198E+00,6.9873244502E-04,spec-015387-59386-4268491807.fits,3.5451710224E+00,59386,J185911.75+571620.1,284.7989943,57.2722752,0.4879,0.4828,-0.1413,17.976,0.157,6.9,8.694E-01,17.638,null,0.9,9.167E-01,13.827,null,-1.6,9.457E-01,10.073,null,-0.1,9.149E-01,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,2,74,0,74,0,69,0,69,null,null,null,null,null,null,null
3140,0.554093,-42.230658,2.7021598150E+16,1.5159631348E+02,7.2032198906E+00,3.8744124134E+18,3.2377304077E+01,DA,9.5997812500E+03,2.1363054276E+01,8.1723098755E+00,1.5618168982E-04,spec-101275-59666-27021598150451433.fits,2.2422464371E+01,59666,J100623.09+071212.0,151.5962092,7.2033339,0.3721,0.4121,0.0484,15.863,0.069,15.8,7.852E-01,15.672,0.182,6.0,9.377E-01,12.618,null,0.1,9.609E-01,9.034,null,-0.6,1.034E+00,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,11,11,2,11,0,11,0,11,881935019,15.896,0.092,15.856,0.172,15.023,null
3156,0.480470,-12.042871,4.3509666980E+09,2.1502687073E+02,5.3375709534E+01,1.6080612548E+18,1.0453861237E+02,DA,7.2661733398E+03,5.9383950233E+00,8.1825990677E+00,2.5220939278E-05,spec-015290-59370-4350966698.fits,4.8251773834E+01,59370,J142006.43+532233.0,215.0268240,53.3758401,0.2835,0.2957,0.0857,16.090,0.052,21.0,9.795E-01,16.019,0.141,7.7,1.047E+00,13.284,null,0.0,9.642E-01,9.594,null,-0.8,1.056E+00,1,0,0.000,0.000,0.000,0.000,0000,0,02nn,0000,24,28,6,28,0,26,0,26,1295726687,16.404,0.125,15.869,0.178,16.235,null
3157,0.480470,-12.042871,4.3509666980E+09,2.1502687073E+02,5.3375709534E+01,1.6080612548E+18,1.0453861237E+02,DA,7.2661733398E+03,5.9383950233E+00,8.1825990677E+00,2.5220939278E-05,spec-015290-59376-4350966698.fits,5.5353996277E+01,59376,J142006.43+532233.0,215.0268240,53.3758401,0.2835,0.2957,0.0857,16.090,0.052,21.0,9.795E-01,16.019,0.141,7.7,1.047E+00,13.284,null,0.0,9.642E-01,9.594,null,-0.8,1.056E+00,1,0,0.000,0.000,0.000,0.000,0000,0,02nn,0000,24,28,6,28,0,26,0,26,1295726687,16.404,0.125,15.869,0.178,16.235,null
3259,0.059527,-138.026874,2.7021597829E+16,2.7349072266E+02,6.2336250305E+01,2.1591713235E+18,8.3357744217E+00,DA,1.2000000000E+04,1.3428494263E+02,8.4714708328E+00,5.3186848527E-04,spec-101205-59988-27021597828716823.fits,5.7607202530E+00,59988,J181357.76+622010.4,273.4906988,62.3362380,0.8999,0.9413,-0.2598,18.192,0.150,7.2,8.373E-01,18.249,null,-0.7,9.761E-01,14.060,null,-0.5,9.775E-01,10.267,null,-1.9,1.024E+00,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,1,111,1,110,0,106,0,108,null,null,null,null,null,null,null
3337,0.302806,44.909449,2.7021597957E+16,3.2763204575E+00,9.1863101721E-01,2.5463871538E+18,3.6327617645E+01,DA,1.1103526367E+04,5.3397087097E+01,8.2377309799E+00,1.4400525833E-04,spec-104642-59846-27021597957496946.fits,9.4881296158E+00,59846,J001306.33+005507.2,3.2763798,0.9186906,1.0021,1.0620,-0.2988,17.169,0.199,5.4,8.736E-01,15.980,0.256,4.2,1.003E+00,12.533,null,-1.3,1.190E+00,8.463,null,-1.2,9.064E-01,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,2,11,1,11,0,11,0,8,null,null,null,null,null,null,null
3338,0.302806,44.909449,2.7021597957E+16,3.2763204575E+00,9.1863101721E-01,2.5463871538E+18,3.6327617645E+01,DA,1.1103526367E+04,5.3397087097E+01,8.2377309799E+00,1.4400525833E-04,spec-104642-59847-27021597957496946.fits,6.1002078056E+00,59847,J001306.33+005507.2,3.2763798,0.9186906,1.0021,1.0620,-0.2988,17.169,0.199,5.4,8.736E-01,15.980,0.256,4.2,1.003E+00,12.533,null,-1.3,1.190E+00,8.463,null,-1.2,9.064E-01,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,2,11,1,11,0,11,0,8,null,null,null,null,null,null,null
3339,0.302806,44.909449,2.7021597957E+16,3.2763204575E+00,9.1863101721E-01,2.5463871538E+18,3.6327617645E+01,DA,1.1103526367E+04,5.3397087097E+01,8.2377309799E+00,1.4400525833E-04,spec-104642-59874-27021597957496946.fits,7.0851292610E+00,59874,J001306.33+005507.2,3.2763798,0.9186906,1.0021,1.0620,-0.2988,17.169,0.199,5.4,8.736E-01,15.980,0.256,4.2,1.003E+00,12.533,null,-1.3,1.190E+00,8.463,null,-1.2,9.064E-01,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,2,11,1,11,0,11,0,8,null,null,null,null,null,null,null
3340,0.302806,44.909449,2.7021597957E+16,3.2763204575E+00,9.1863101721E-01,2.5463871538E+18,3.6327617645E+01,DA,1.1103526367E+04,5.3397087097E+01,8.2377309799E+00,1.4400525833E-04,spec-104642-59879-27021597957496946.fits,8.1119737625E+00,59879,J001306.33+005507.2,3.2763798,0.9186906,1.0021,1.0620,-0.2988,17.169,0.199,5.4,8.736E-01,15.980,0.256,4.2,1.003E+00,12.533,null,-1.3,1.190E+00,8.463,null,-1.2,9.064E-01,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,2,11,1,11,0,11,0,8,null,null,null,null,null,null,null
3341,0.821683,44.609464,2.7021598088E+16,1.0569097137E+02,5.5199079216E-02,3.1127861764E+18,5.6593463898E+01,DA,1.2535247070E+04,3.7526199341E+01,8.1418094635E+00,6.0071764892E-05,spec-103426-59890-27021598087560892.fits,2.8745326996E+01,59890,J070245.87+000319.3,105.6911317,0.0553616,0.2373,0.2659,0.0118,15.130,0.049,22.1,1.036E+00,14.887,0.092,11.7,1.023E+00,12.302,null,1.2,9.965E-01,8.830,null,0.8,1.136E+00,1,0,0.000,0.000,0.000,0.000,0000,0,11nn,0000,13,13,6,13,1,13,0,12,718592618,15.228,0.047,15.340,0.096,15.396,0.196
3342,0.821683,44.609464,2.7021598088E+16,1.0569097137E+02,5.5199079216E-02,3.1127861764E+18,5.6593463898E+01,DA,1.2535247070E+04,3.7526199341E+01,8.1418094635E+00,6.0071764892E-05,spec-103426-59891-27021598087560892.fits,2.5155328751E+01,59891,J070245.87+000319.3,105.6911317,0.0553616,0.2373,0.2659,0.0118,15.130,0.049,22.1,1.036E+00,14.887,0.092,11.7,1.023E+00,12.302,null,1.2,9.965E-01,8.830,null,0.8,1.136E+00,1,0,0.000,0.000,0.000,0.000,0000,0,11nn,0000,13,13,6,13,1,13,0,12,718592618,15.228,0.047,15.340,0.096,15.396,0.196
3346,0.451398,-28.764363,2.7021598104E+16,1.3445686340E+02,1.8133884430E+01,6.1226212221E+17,4.4068401337E+01,DA,3.8787714844E+04,1.0524671173E+02,6.5000000000E+00,1.3594957636E-05,spec-102011-59986-27021598104494529.fits,2.3482162476E+01,59986,J085749.63+180802.3,134.4567999,18.1339943,0.4557,0.5091,0.0890,16.241,0.083,13.1,9.424E-01,16.424,0.336,3.2,9.647E-01,12.550,0.456,2.4,1.154E+00,9.134,null,-1.6,8.874E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,9,14,0,14,0,14,0,14,394041830,16.419,0.111,16.083,0.177,16.419,null
3376,0.647317,-100.206860,2.7021598150E+16,1.4963806152E+02,1.5136653185E+00,3.8345197651E+18,3.9970116615E+00,DA,1.3000007812E+04,9.0738102794E-02,8.2022027969E+00,1.0397178121E-03,spec-101283-59955-27021598150208679.fits,2.3206927776E+00,59955,J095833.09+013049.0,149.6378845,1.5136335,1.0567,1.1818,0.1356,17.141,0.181,6.0,9.227E-01,16.776,null,0.5,9.139E-01,12.482,null,0.5,8.610E-01,9.075,null,-1.2,9.950E-01,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,1111,0,12,0,12,0,12,0,12,null,null,null,null,null,null,null
3432,0.803406,-141.631081,4.3507004840E+09,2.2159120178E+02,4.1571235657E+01,1.4897351421E+18,4.9047061920E+01,DA,1.1472696289E+04,2.1491548538E+01,8.1425695419E+00,1.2337356748E-04,spec-015357-59336-4350700484.fits,1.0559293747E+01,59336,J144621.84+413415.8,221.5910166,41.5710607,0.2331,0.2480,0.0465,15.852,0.047,23.2,8.072E-01,15.285,0.082,13.2,9.713E-01,12.633,null,1.8,9.200E-01,9.517,null,-0.7,1.085E+00,1,0,0.000,0.000,0.000,0.000,0000,0,00nn,0000,25,29,11,29,0,29,0,29,null,null,null,null,null,null,null
3433,0.803406,-141.631081,4.3507004840E+09,2.2159120178E+02,4.1571235657E+01,1.4897351421E+18,4.9047061920E+01,DA,1.1472696289E+04,2.1491548538E+01,8.1425695419E+00,1.2337356748E-04,spec-015357-59364-4350700484.fits,1.8422431946E+01,59364,J144621.84+413415.8,221.5910166,41.5710607,0.2331,0.2480,0.0465,15.852,0.047,23.2,8.072E-01,15.285,0.082,13.2,9.713E-01,12.633,null,1.8,9.200E-01,9.517,null,-0.7,1.085E+00,1,0,0.000,0.000,0.000,0.000,0000,0,00nn,0000,25,29,11,29,0,29,0,29,null,null,null,null,null,null,null
3434,0.803406,-141.631081,4.3507004840E+09,2.2159120178E+02,4.1571235657E+01,1.4897351421E+18,4.9047061920E+01,DA,1.1472696289E+04,2.1491548538E+01,8.1425695419E+00,1.2337356748E-04,spec-015357-59392-4350700484.fits,2.6627779007E+01,59392,J144621.84+413415.8,221.5910166,41.5710607,0.2331,0.2480,0.0465,15.852,0.047,23.2,8.072E-01,15.285,0.082,13.2,9.713E-01,12.633,null,1.8,9.200E-01,9.517,null,-0.7,1.085E+00,1,0,0.000,0.000,0.000,0.000,0000,0,00nn,0000,25,29,11,29,0,29,0,29,null,null,null,null,null,null,null
3519,0.100181,59.067088,2.7021597833E+16,3.0658868408E+02,5.9423118591E+01,2.1886257625E+18,2.5682851791E+01,DA,2.5092914062E+04,9.2888374329E+01,7.9053273201E+00,2.6011685259E-04,spec-101803-59838-27021597833008618.fits,1.8085750580E+01,59838,J202621.29+592523.2,306.5887310,59.4231329,0.5322,0.4939,-0.1397,16.747,0.090,12.1,1.008E+00,17.478,null,0.3,9.554E-01,12.875,null,-4.3,8.571E-01,9.522,null,-2.6,9.378E-01,1,0,0.000,0.000,0.000,0.000,0000,0,0nnn,0000,5,39,0,39,0,37,0,37,null,null,null,null,null,null,null
3571,0.559815,33.547394,2.7021597933E+16,1.0459924698E+01,-2.4472124577E+00,2.5301191963E+18,1.5441457748E+01,DA,7.3215161133E+03,2.4860645294E+01,7.7255668640E+00,6.2240444822E-04,spec-104661-59845-27021597933219093.fits,1.0214143753E+01,59845,J004150.40-022649.4,10.4600107,-2.4470829,0.4376,0.4579,-0.1234,16.141,0.075,14.5,8.322E-01,16.609,0.399,2.7,9.137E-01,12.758,null,-1.5,9.289E-01,9.138,null,-0.6,8.263E-01,1,0,0.000,0.000,0.000,0.000,0000,0,0nnn,1111,12,16,0,16,0,16,0,16,67711257,16.257,0.080,16.053,0.147,15.837,null
3572,0.559815,33.547394,2.7021597933E+16,1.0459924698E+01,-2.4472124577E+00,2.5301191963E+18,1.5441457748E+01,DA,7.3215161133E+03,2.4860645294E+01,7.7255668640E+00,6.2240444822E-04,spec-104661-59871-27021597933219093.fits,7.5675302744E-01,59871,J004150.40-022649.4,10.4600107,-2.4470829,0.4376,0.4579,-0.1234,16.141,0.075,14.5,8.322E-01,16.609,0.399,2.7,9.137E-01,12.758,null,-1.5,9.289E-01,9.138,null,-0.6,8.263E-01,1,0,0.000,0.000,0.000,0.000,0000,0,0nnn,1111,12,16,0,16,0,16,0,16,67711257,16.257,0.080,16.053,0.147,15.837,null
3580,0.637290,47.072774,2.7021598712E+16,2.9617022705E+02,-4.7965431213E+00,4.2095161385E+18,3.6217556000E+01,DA,1.6552392578E+04,1.9760577393E+02,8.0378122330E+00,3.7108731340E-04,spec-100516-59845-27021598712277269.fits,7.8025989532E+00,59845,J194440.88-044747.1,296.1703571,-4.7964226,0.2208,0.2392,-0.0670,15.928,0.076,14.2,9.256E-01,16.426,null,0.7,9.560E-01,12.584,null,-0.9,8.403E-01,8.954,null,-1.4,9.882E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,9,16,0,16,0,14,0,8,98615930,16.349,0.096,15.822,0.167,15.607,null
3581,0.608139,47.200065,2.7021598151E+16,1.5628311157E+02,5.5485343933E+00,3.8606844266E+18,9.3091564178E+00,DA,1.5707947266E+04,3.4921066284E+01,7.3638906479E+00,5.2969955141E-04,spec-101260-59646-27021598151290839.fits,5.9891591072E+00,59646,J102507.97+053255.1,156.2832361,5.5486492,0.3480,0.4128,-0.0463,16.602,0.117,9.3,1.093E+00,16.529,null,-0.1,9.930E-01,12.140,null,0.5,1.235E+00,8.945,null,-1.8,1.071E+00,1,0,0.000,0.000,0.000,0.003,h000,0,nnnn,4577,3,16,0,16,1,10,0,11,null,null,null,null,null,null,null
3596,0.261151,9.054388,4.5431436670E+09,1.1190714264E+02,2.3303459167E+01,8.6671945683E+17,1.5960719299E+02,DA,6.0000000000E+03,0.0000000000E+00,8.1142702103E+00,3.4330831113E-05,spec-015191-59247-4543143667.fits,3.1623714447E+01,59247,J072737.71+231812.7,111.9071551,23.3035308,0.3088,0.3314,-0.0524,15.497,0.057,19.0,9.670E-01,15.239,0.140,7.8,9.877E-01,12.445,null,0.4,9.198E-01,8.963,null,-1.6,8.815E-01,1,0,0.000,0.000,0.000,0.000,0000,0,0nnn,0000,11,11,2,11,0,11,0,11,139240463,14.938,0.035,15.162,0.078,15.202,0.117
3597,0.261151,9.054388,4.5431436670E+09,1.1190714264E+02,2.3303459167E+01,8.6671945683E+17,1.5960719299E+02,DA,6.0000000000E+03,0.0000000000E+00,8.1142702103E+00,3.4330831113E-05,spec-015285-59276-4543143667.fits,8.0877403259E+01,59276,J072737.71+231812.7,111.9071551,23.3035308,0.3088,0.3314,-0.0524,15.497,0.057,19.0,9.670E-01,15.239,0.140,7.8,9.877E-01,12.445,null,0.4,9.198E-01,8.963,null,-1.6,8.815E-01,1,0,0.000,0.000,0.000,0.000,0000,0,0nnn,0000,11,11,2,11,0,11,0,11,139240463,14.938,0.035,15.162,0.078,15.202,0.117
3598,0.261151,9.054388,4.5431436670E+09,1.1190714264E+02,2.3303459167E+01,8.6671945683E+17,1.5960719299E+02,DA,6.0000000000E+03,0.0000000000E+00,8.1142702103E+00,3.4330831113E-05,spec-015285-59304-4543143667.fits,6.1512042999E+01,59304,J072737.71+231812.7,111.9071551,23.3035308,0.3088,0.3314,-0.0524,15.497,0.057,19.0,9.670E-01,15.239,0.140,7.8,9.877E-01,12.445,null,0.4,9.198E-01,8.963,null,-1.6,8.815E-01,1,0,0.000,0.000,0.000,0.000,0000,0,0nnn,0000,11,11,2,11,0,11,0,11,139240463,14.938,0.035,15.162,0.078,15.202,0.117
3684,0.395772,-13.211983,2.7021597908E+16,2.3543717957E+02,6.4897766113E+01,1.6413269791E+18,4.0074121094E+02,DA,1.1664234375E+04,4.7028888702E+01,8.1381196976E+00,4.6636116167E-05,spec-101136-59952-27021597907852708.fits,1.7946630478E+01,59952,J154144.90+645352.3,235.4371203,64.8978731,0.1063,0.1083,0.0186,14.638,0.027,40.1,9.538E-01,13.803,0.030,36.1,9.770E-01,12.928,0.306,3.5,9.371E-01,9.374,null,1.2,1.097E+00,1,0,0.000,0.000,0.000,0.000,0000,0,11nn,0000,46,47,47,47,1,43,0,43,977917953,15.604,0.062,15.912,0.171,15.429,0.175
3685,0.395772,-13.211983,2.7021597908E+16,2.3543717957E+02,6.4897766113E+01,1.6413269791E+18,4.0074121094E+02,DA,1.1664234375E+04,4.7028888702E+01,8.1381196976E+00,4.6636116167E-05,spec-101136-59978-27021597907852708.fits,2.2094564438E+01,59978,J154144.90+645352.3,235.4371203,64.8978731,0.1063,0.1083,0.0186,14.638,0.027,40.1,9.538E-01,13.803,0.030,36.1,9.770E-01,12.928,0.306,3.5,9.371E-01,9.374,null,1.2,1.097E+00,1,0,0.000,0.000,0.000,0.000,0000,0,11nn,0000,46,47,47,47,1,43,0,43,977917953,15.604,0.062,15.912,0.171,15.429,0.175
3709,0.755357,2.955152,2.7021597913E+16,1.0162962341E+02,6.5427574158E+01,1.1009712338E+18,8.6636755371E+02,DA,1.7815761719E+04,6.2816684723E+01,7.5790181160E+00,3.9488988114E-04,spec-102969-59981-27021597912892263.fits,1.7023403168E+01,59981,J064631.11+652540.0,101.6296494,65.4277837,1.1091,1.2506,-0.1020,17.481,0.192,5.6,9.664E-01,16.692,null,1.4,9.554E-01,12.905,null,-1.6,9.783E-01,9.350,null,-0.1,9.455E-01,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,2,17,0,17,0,17,0,17,null,null,null,null,null,null,null
